date,Market,High customers,High suppliers,High employees,High communities,Low communities
2019-07-31,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019
2019-08-30,0.97865592,0.9753315812825158,0.9537982075977006,0.9937646684505428,0.9758326729501847,0.9915499325774786
2019-09-30,0.9952930706400002,1.0011768191386095,1.0049264774281808,1.022261498115138,1.0148264112923977,1.0199278594539445
2019-10-31,1.0149998734386723,1.0169015574919145,1.0144736216875017,1.0321804626613742,1.026431747515077,1.0307642359672526
2019-11-29,1.0547878684774683,1.0400481393832524,1.0540565900809586,1.0586601031777263,1.0525970299725294,1.0491793910637663
2019-12-31,1.0856931530238583,1.0653666110400308,1.0950676252046028,1.0891325037998394,1.0883257672032618,1.0774371507458813
2020-01-31,1.083413197402508,1.070382879331739,1.056709451426174,1.0530110636855659,1.0556203478444603,1.0589221236148574
2020-02-28,0.9955483870931646,0.9704414490405643,0.9528531304909592,0.9537675276119799,0.9556480231354849,0.9587155949525892
2020-03-31,0.8564702774162495,0.8236362066583521,0.7815996144353718,0.7690986928381388,0.8023126062118882,0.8054071518984799
2020-04-30,0.9706377653958355,0.9225164587763154,0.889888155136366,0.8874360913867908,0.9035912727441346,0.9215344400321072
2020-05-29,1.023634587386448,0.9712643024347277,0.9374869531391576,0.9473951781955765,0.9569404319843935,0.9843297202408451
2020-06-30,1.0486112713186775,0.9854016708742332,0.9558584536552278,0.960933140868284,0.9637602564807306,1.0050680642754553
2020-07-31,1.1085918360381057,1.048963454666541,0.9871158320919392,1.0117307958636985,1.0159016326855452,1.0711403457516857
2020-08-31,1.1911819278229445,1.1029218400454364,1.040593416481774,1.053876354405389,1.0668887489246714,1.1120487381496724
2020-09-30,1.147703787457407,1.0752855850603564,1.009737664683307,1.0331602133415412,1.050732694671147,1.090176983292397
2020-10-30,1.1236020079208013,1.0703056787187533,0.9878761901538942,1.0411020583897372,1.0601679556464931,1.0948829474550783
2020-11-30,1.2645016997140697,1.209177299303853,1.1070734648955827,1.1908735562485293,1.2096653918291276,1.2464777598174586
2020-12-31,1.3227952280708883,1.250546210417497,1.1465889250852468,1.241651445984404,1.2672864214182382,1.2966684224721194
2021-01-29,1.3188268423866756,1.232544956873695,1.142509628280106,1.2255927717058652,1.2390452078403849,1.2783193501873966
2021-02-26,1.3608974186588105,1.2973143346069318,1.196348680952508,1.3029498138770217,1.3022142064687072,1.3562908322799183
2021-03-31,1.4088010077956006,1.3932470587897405,1.2846930568924178,1.393896848855592,1.3836093245360608,1.4571912711411554
2021-04-30,1.4810724994955147,1.4571222415753469,1.327089918207097,1.4650789530471235,1.4537945783922006,1.5206378626218366
2021-05-28,1.4912918997420337,1.4775013645695323,1.363372028305753,1.5076799356813235,1.4710368386272796,1.5626898713412876
2021-06-30,1.5257407426260745,1.4628791835372095,1.3628456632512749,1.491365877873033,1.4505019076429626,1.5351537832536375
2021-07-30,1.5445073537603753,1.4857268526108893,1.3595480099403379,1.5124203331753883,1.4640911570536084,1.5613927857598775
2021-08-31,1.587908010401042,1.5379594761387505,1.3898776677911269,1.5549181661466693,1.4921771854084012,1.6163648072293424
2021-09-30,1.5199455475558774,1.485849707511087,1.3291514348592883,1.5012992177644864,1.434621750812342,1.5535832296229628
2021-10-29,1.6213259155778543,1.5491914709936954,1.3844948583036678,1.6046182063727046,1.52310919758417,1.6338187547881884
2021-11-30,1.5918177839143375,1.5218258097346422,1.3564867413082078,1.5508275143323726,1.4721128046442085,1.5879678254987784
2021-12-31,1.647531406351339,1.5991962628052172,1.4404345434107995,1.6336215113903665,1.5490393248974905,1.6548784838364614
2022-01-31,1.5529631036267721,1.5517835055368092,1.4002383725390215,1.5620385555034215,1.4907959824886112,1.584983983814927
2022-02-28,1.5184873227262579,1.5623353452636963,1.3931209108141163,1.5695871197250701,1.5107224850336896,1.613147674879804
2022-03-31,1.5682937069116791,1.598848071615331,1.4330327008905934,1.6241194877307885,1.5488560633675157,1.6616312705152296
2022-04-29,1.4257358089534076,1.532159207485071,1.3615113470489444,1.5039782789431364,1.4328838445653116,1.5628148035679694
2022-05-31,1.4244526467253495,1.5376940210718975,1.384926006819879,1.5409960804806362,1.4521484174883024,1.5971347818296917
2022-06-30,1.3047986244004202,1.3919432534863958,1.2384357385551383,1.3751171775251403,1.3096580251880392,1.4262502241855397
2022-07-29,1.4264058561945392,1.508105504366314,1.3339488231636194,1.528280636252076,1.4282943425713166,1.5831977140120577
2022-08-31,1.3753405265427747,1.487514739289858,1.3089467601452034,1.4876874726234905,1.393777217324246,1.5223328419814826
2022-09-30,1.250047004574728,1.3781103984683147,1.1873963595504071,1.359142694573293,1.2664177936037493,1.3861494870852096
2022-10-31,1.3524258542493983,1.5147352928196354,1.325147455519956,1.4957827781424795,1.39643875821378,1.5463294960341192
2022-11-30,1.4215348154015424,1.6063953266556665,1.3994182254362175,1.5739500336980474,1.496655075402459,1.6320502807358457
2022-12-30,1.3366691869220704,1.5222216497222503,1.3404905729356609,1.4993086821519672,1.427250401858639,1.5477460248427586
2023-01-31,1.431840033030922,1.6395422641204143,1.407639367059711,1.5985387644501308,1.5518722251465626,1.662750262905154
2023-02-28,1.3983349762579984,1.5949697584382991,1.3712341984736738,1.550752007142936,1.516760809728764,1.6100102216017662
2023-03-31,1.4353908531288353,1.5628348389953013,1.3622695138816043,1.5276876830381465,1.5107532839326565,1.5838666069900076
2023-04-28,1.4503189180013751,1.5495711115978905,1.3776138636980115,1.5335011936136738,1.5087652907678524,1.5889699750021804
2023-05-31,1.4540897471881786,1.4907942767842968,1.3162845069780145,1.4878635616219917,1.464674108295219,1.542076258618062
2023-06-30,1.5541311217947253,1.6016848737640732,1.4112497873062637,1.6216158744306604,1.5860233411188265,1.6762869299717138
