,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.83,-10.81%,-24.13%,,
High customers,0.79,-11.46%,-23.05%,0.15,0.420
High suppliers,0.61,-13.17%,-28.63%,-0.15,0.260
High employees,0.78,-13.77%,-29.38%,0.17,0.280
High communities,0.66,-11.99%,-26.28%,-0.05,0.790
Low communities,0.82,-12.55%,-25.25%,0.21,0.230
