,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-0.82%,-3.87%,6.78%,6.78%,7.93%,22.95%,37.03%,37.03%
High Advocacy,1.99%,0.17%,13.65%,13.65%,48.28%,49.61%,67.12%,67.12%
High Upskilling,3.82%,5.51%,26.55%,26.55%,68.56%,98.24%,124.75%,124.75%
High Adaptation-change,6.58%,3.87%,21.17%,21.17%,48.18%,75.06%,102.62%,102.62%
High Innovation,4.24%,2.43%,21.01%,21.01%,48.14%,75.67%,101.11%,101.11%
Low Advocacy,5.29%,3.07%,19.13%,19.13%,48.42%,72.22%,98.94%,98.94%
