date,Market,High Advocacy,High Upskilling,High Adaptation-change,High Innovation,Low Advocacy
2019-07-31,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019
2019-08-30,0.99067872,0.9516291166576314,0.9508746602184361,0.9563860542723368,0.9746563816166254,0.9558470639689761
2019-09-30,1.030404936672,1.016189949532942,1.0244793995708374,1.0297494465906323,1.0374460981875178,1.0264800268413756
2019-10-31,1.0817191025182658,1.084820346700125,1.1066317567173942,1.102787183668098,1.1030966188194713,1.1038449728552773
2019-11-29,1.09026468342816,1.108010856912476,1.1206099989358194,1.1281562577167943,1.117312931170441,1.1293050134926697
2019-12-30,1.114468559400265,1.117092020264061,1.1337027877646806,1.157456913792361,1.1448207490497675,1.1551341962240003
2020-01-31,1.09307076305978,1.0646911883480379,1.0726162554523568,1.0910064943127153,1.090306901351704,1.0875287195586172
2020-02-28,0.9840916079827199,0.94426749485333,0.951383687913421,0.9630580243589808,0.9603022874400009,0.9526322046431746
2020-03-31,0.9340013451363994,0.8778128651055347,0.8696360594964493,0.895511492302708,0.9074315671740055,0.8491406212455396
2020-04-30,0.9803278118551649,0.9093288934892604,0.9184986972496127,0.9460593800199156,0.9326226181051211,0.9166363165979974
2020-05-29,1.0434609229386376,0.9922846591288844,0.984721223244559,1.0273489101674513,0.9967508717536756,0.9933617897987902
2020-06-30,1.0412696550004665,0.9647431951833754,0.9643900325865339,1.0326089216286567,0.9752500226116658,0.99874699116565
2020-07-31,1.0207566427969572,0.88895987591315,0.9175171298802225,0.9757738918660978,0.9029807750628466,0.9420220323699534
2020-08-31,1.100988114920798,0.969323712828855,0.9888325699264405,1.063627568784327,0.9883514773599554,1.0175698374128168
2020-09-30,1.1254300510720399,0.9994353401108136,1.0091312976558429,1.0872490482464752,1.0081116285944163,1.0409973348768484
2020-10-30,1.1031465360608135,0.9438859284392356,0.9905593671820744,1.0745744975602372,0.9722227408110795,1.0193711896600217
2020-11-30,1.2237204524522602,0.998238507036534,1.0792120643498888,1.195697252458804,1.0619460738061584,1.1299195362209797
2020-12-30,1.2726692705503506,1.0318435468030835,1.160863017548813,1.2574153611961747,1.1015558626593693,1.2094252605667064
2021-01-29,1.2570154385225814,1.0560178702154661,1.1899415221695466,1.2689201462664679,1.127832414344028,1.2338171222849803
2021-02-26,1.2713454145217389,1.1098529539414,1.1826560552683458,1.2834035048211703,1.1674384341442636,1.2448714498478977
2021-03-31,1.289652788490852,1.184960282003472,1.3033187119649263,1.3962193698293877,1.272432493440856,1.3453554841331075
2021-04-30,1.2692762744326964,1.141571782914235,1.2763790368682295,1.3607758930159282,1.2438985051460694,1.3364106793047632
2021-05-31,1.2801920503928175,1.1445523433279428,1.2715949142968768,1.3799896948058237,1.2682431170264907,1.3306785330316826
2021-06-30,1.2809601656230531,1.168287882110314,1.292979661669233,1.3827497787072647,1.3215695348464873,1.3393130626434435
2021-07-30,1.266997699817762,1.1291112660551057,1.2708929999312613,1.3497668557199207,1.303103590508058,1.3049822052031064
2021-08-31,1.3032338340325498,1.1598155783444744,1.2956772867687452,1.3858117915009363,1.3625310774229153,1.328798527842006
2021-09-30,1.34207020228672,1.1833746283551172,1.334345523004807,1.4126201851503861,1.3870222272542911,1.361422683741449
2021-10-29,1.2908031205593673,1.1712001101492309,1.3099065269884513,1.3925615342326452,1.3779395224036874,1.3459881934856417
2021-11-30,1.2531116694390338,1.0870060411350906,1.2674613204688345,1.3244638483326163,1.2964928917934349,1.2872572834366174
2021-12-30,1.2695274323086851,1.1270621664885268,1.3333066774568496,1.3674363628731427,1.357566836742404,1.3403678048237084
2022-01-31,1.2042737222880187,1.0818107232036493,1.2745064478586505,1.2978293371285206,1.2819924001095413,1.2933263250979319
