,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.97%,6.93%,-18.87%,-18.87%,23.12%,50.39%,92.10%,92.10%
High Innovation,-4.11%,12.81%,-5.70%,-5.70%,34.92%,60.53%,111.00%,111.00%
High Adaptation-change,-4.50%,13.74%,-3.15%,-3.15%,52.68%,85.30%,140.40%,140.40%
High Upskilling,-4.24%,14.46%,-1.56%,-1.56%,39.31%,58.76%,122.88%,122.88%
High Advocacy,-5.23%,12.06%,-5.37%,-5.37%,22.95%,40.26%,88.94%,88.94%
Low Advocacy,-3.70%,12.98%,-1.69%,-1.69%,52.67%,84.98%,136.58%,136.58%
High esg_refinitive,-4.40%,14.19%,-7.82%,-7.82%,34.33%,51.69%,115.38%,115.38%
