date,High Innovation,High Adaptation-change,High Upskilling,High Advocacy,Low Advocacy,High esg_refinitive
2018-06-29,0.04909447464163563,0.33120907210656536,0.5263570114094822,0.2806496830379209,0.15910359992851963,0.5865458339966448
2018-07-31,0.10738984135079005,0.3395781607200359,0.48056960260326453,0.22692103596274477,0.15204990068325924,0.4941603730057697
2018-08-31,0.14396437684535907,0.4053575274814884,0.518559307671774,0.19581006566805353,0.18601409505644023,0.5371169029205902
2018-09-28,0.13358161538679791,0.39658667858216706,0.4866988074670235,0.215697925292751,0.19750628150488736,0.5739536453055728
2018-10-31,0.09428410093838302,0.042547275517004546,0.032271635412317146,0.19128544577462803,-0.030817002430394647,0.20357398407507532
2018-11-30,0.09038594895309904,0.14038815339213545,-0.07014723411584878,0.10800779132166727,0.06373938914302035,0.05303503579714036
2018-12-31,0.21793837494425095,0.05497599857350721,-0.1560698984209079,-0.04276996912578224,-0.004718162161783779,0.06889972648067044
2019-01-31,0.25842133538826073,0.10085594792361308,-0.10406998644440879,0.007716117464531047,0.014840615790755907,0.0662412538126933
2019-02-28,0.2750876955132131,0.11185268510914148,-0.11272449467119405,-0.006530024901546971,0.0286726549544587,0.11256893370436227
2019-03-29,0.24439854266619432,0.08396848707835591,-0.10739227165638665,0.0042081112035647905,0.023413818086965854,0.08285997722984095
2019-04-30,0.12704859367496413,0.06427899858834851,-0.050059470113923865,0.1137438418412029,-0.0042407473414045604,-0.03395424058378482
2019-05-31,0.11346981409329537,0.07293270387577477,-0.2310738140130334,0.030336173598087823,-0.04970016374115027,-0.1280707275581564
2019-06-28,0.22831981078483388,0.023816834749927795,-0.11588198469096278,0.1720654911976306,0.042830137597797746,-0.15492964685831973
2019-07-31,0.26959002692221146,0.12468086700267333,-0.061875080698072904,0.24653227035371728,0.12252738843065825,-0.2257755946444162
2019-08-30,0.25722080308344564,0.10471745381656594,-0.09871933767680374,0.2198337092075271,0.08383854820003367,-0.283716552727891
2019-09-30,0.2527158068132741,0.3317050586320234,0.043200398641257576,0.2998265031701119,0.2942321110807723,-0.1476456799879975
2019-10-31,0.23945308798026477,0.33951396932203937,-0.018203659427383778,0.2288804972219446,0.29334264655200937,-0.21127730364453012
2019-11-29,0.12261920773670731,0.2921470016096661,-0.025462774822713197,0.2329417266676681,0.25834882540367154,-0.13897146889271728
2019-12-31,0.09350185538156341,0.22645457790304824,0.09398177744940439,0.0654828276562377,0.3586940594822624,-0.2530823594166721
2020-01-31,0.09803482679768405,0.23105352715732252,0.08734211438295075,0.06027670810920249,0.3527849696683024,-0.24917126468661788
2020-02-28,0.09549557383028551,0.20174269905013853,-0.009199808869771675,0.07180020176432156,0.29318588176856863,-0.2680899514965702
2020-03-31,-0.10517448451264211,0.0635095249338733,-0.17650662510035509,-0.08838050407885145,0.07868637867436146,-0.33152342149190384
2020-04-30,-0.11610000385750263,0.09203850535115765,-0.08420204946031573,-0.03613000142710776,0.16018523184704403,-0.26422359580551835
2020-05-29,-0.09953278523158704,0.1743436685645432,0.009459086630910996,0.038289416720061364,0.40102102619225977,-0.04990072096242826
2020-06-30,-0.15665949737602003,0.13786635925774027,-0.022326472005755438,-0.11176095136044295,0.31618308698206876,-0.11088592620726301
2020-07-31,-0.21149251521317203,0.12994293599380002,0.03031778917317407,-0.04031402404315565,0.3432813106390713,-0.09675487433558727
2020-08-31,-0.147863999796763,0.19451654400165608,0.10427417278026296,-0.03383376471411714,0.42007072008954527,-0.04781121437739588
2020-09-30,0.012956216533478337,0.2989566284234023,0.2112046407806496,0.18481136656770425,0.5455515470293815,-0.009492065942162453
2020-10-30,0.36029010720206467,0.7000914681402448,0.2282709769226896,0.1627878576623054,0.6773372098414397,0.07994534300274203
2020-11-30,0.23873912761054739,0.6211945936886948,0.2066238673675257,-0.05821447308906735,0.36659161384572414,-0.014489525355886324
2020-12-31,0.3155934151896109,0.7698081512693912,0.003242922720041022,-0.01649067159685111,0.37127642298627495,-0.11600345764702874
2021-01-29,0.1077409187747819,0.6171430441743991,-0.2649057769882243,-0.11854599138599614,0.12115006743481632,-0.18855125441475662
2021-02-26,0.16743204475996443,0.5525927088322222,-0.1890837630817923,-0.16562151746023568,0.24959407264973366,-0.190238417008818
2021-03-31,0.3312775786267568,0.6110572225269624,-0.2655037808472104,-0.04954009935685988,0.3412886629897484,-0.04647906847033084
2021-04-30,0.3764837035725753,0.6499477833139148,-0.2762016221863135,-0.13108574280585072,0.40364107704858143,0.004375103764109656
2021-05-28,0.3780864760797837,0.6748549694711767,-0.10504494501373085,-0.11187631211423504,0.3906040214688871,0.17450053353598005
2021-06-30,0.2956138601026948,0.6397338778238173,-0.18661745065787858,-0.19818863091099526,0.33287692629731347,0.11373283459593947
2021-07-30,0.26512754787875503,0.6074331871979717,-0.1881779547095837,-0.3315962937028112,0.3377952507569935,0.14431665751436878
2021-08-31,0.2438450435151222,0.6943794178716495,-0.1650849015817562,-0.3826868093365486,0.42588764202800167,0.17690391326188248
2021-09-30,0.10049659652650317,0.5481420263652927,-0.13706162310798065,-0.49590440037873657,0.3177868043178939,0.17431354637423474
2021-10-29,0.04190393454728353,0.46204271400206604,-0.12128971421956036,-0.46420833313822596,0.26284903796194015,0.22029333620027602
2021-11-30,-0.011671807044918658,0.5032635227975882,-0.2194330693492369,-0.5281312914870856,0.29158435135743577,0.01675170995273978
2021-12-31,0.10581214134595229,0.601600732736254,-0.29702903054582785,-0.4205446488373493,0.3035455124851988,0.056590335674801207
2022-01-31,0.02717029797460968,0.5077867922903334,-0.2735207688130826,-0.45586219373874304,0.2622816972882023,-0.055591361655109583
2022-02-28,0.07184193483051216,0.5399273066053181,-0.10880909796343374,-0.3265443519933213,0.39668822366834555,0.03846747104040471
2022-03-31,-0.23220615622107543,0.5962515674527857,-0.11311505657317833,-0.3348411256814383,0.49450589971531234,-0.06523651707727951
2022-04-29,-0.0024078122612004593,0.5623312107308087,0.08135153497966324,-0.2528733222494915,0.657938785898441,-0.12709028342702927
2022-05-31,-0.072994265952675,0.5073381161345916,-0.06309552102384486,-0.40197992396292187,0.4913206470289274,-0.1994192085028358
2022-06-30,0.09858780288943701,0.31315603883752985,0.10887860305843661,-0.0873782388731197,0.40294072764848743,-0.18198118660884882
2022-07-29,0.015704266047050164,0.4004236572634732,0.189321634647457,-0.010339504698855806,0.5097667609556732,-0.1395081451805733
2022-08-31,0.04763014147287539,0.5753815824964583,0.24377549404723833,-0.04270242095256044,0.5739370399389662,-0.04955024475089037
2022-09-30,-0.18163070119366215,0.4954853221392953,0.22728524261141225,-0.2540230528685082,0.42105973310907574,-0.1254257521528881
2022-10-31,-0.3171657460848534,0.4092340520672571,0.2583364145874364,-0.27958300637868616,0.3590053547950576,-0.17920907728834273
2022-11-30,-0.25752217839192165,0.41211036390404854,0.27586018670722623,-0.172099228714301,0.36900225253389896,-0.0891464043262423
2022-12-30,-0.2234605310441196,0.5155813679860485,0.2892015289013755,-0.1314917707302318,0.41867444156576805,0.03335380035065871
