date,Market,High communities,High employees,High suppliers,High shareholders,High customers,Low communities
2013-07-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-08-30,0.9745,0.9776925904505439,0.9774617337259872,0.9907167457384777,0.9900204294385921,0.9723090350679199,0.9696718091045219
2013-09-30,1.0601585500000001,1.0667068924926746,1.0669038207709118,1.074949581343501,1.0800094331536,1.0641288480687814,1.0750229416242378
2013-10-31,1.0577201853350002,1.0639071528193451,1.0679050885878225,1.0762296963447735,1.0766181398423005,1.0682246422677608,1.0850789576673592
2013-11-29,1.0691435633366182,1.1193695138541255,1.1318338703023663,1.1571988521446386,1.1389169902771534,1.136082534299965,1.146103923088224
2013-12-30,1.0776967118433112,1.1680829593848985,1.1618267061667076,1.1920112742165392,1.197500114292765,1.16056033487879,1.1955520901266723
2014-01-31,1.0490299793082791,1.1287960138600264,1.1134889416350147,1.1383551971731867,1.1370333030836597,1.1023078670957356,1.1457467588759205
2014-02-28,1.0431554114241528,1.1392771346405137,1.1342035212101163,1.1644248530460166,1.136385684625953,1.1031071354354824,1.1642535725559804
2014-03-31,1.0310548086516327,1.1071269155745864,1.1202612611449025,1.1530770687918475,1.1252718097929009,1.0950762587153509,1.1509253567816429
2014-04-30,1.0070312316100496,1.0931485943691126,1.1101689068053828,1.1185904560042108,1.0844087864857574,1.0357941537357274,1.1252094961623405
2014-05-30,1.0451977152880705,1.1203600368268043,1.1495699328752713,1.1694905940806477,1.1219144631315927,1.096015826856795,1.162030727076299
2014-06-30,1.1054011036886635,1.182410517485544,1.212703250680342,1.2362238074114158,1.2061992925386054,1.164225083953644,1.2332053253588384
2014-07-31,1.1139126921870663,1.2192267289393484,1.2402193851879268,1.2592633007785543,1.2476382227945335,1.1982242291040832,1.2755216156607754
2014-08-29,1.0917458296125437,1.2149390723207858,1.2172522838023838,1.2456866011254686,1.253009181481392,1.1979689152084818,1.2804938411006752
2014-09-30,1.0802824984016122,1.2752072463626731,1.2766871472825234,1.312212303261239,1.32255636169574,1.2401807515640666,1.3480605292150123
2014-10-31,1.0572724811856578,1.265695294616395,1.2430338935034457,1.280215026609193,1.2923115187976988,1.2570191207360117,1.3107664898161426
2014-11-28,1.056743844945065,1.3352682705213064,1.329584704352235,1.400277713199393,1.4039870339803178,1.347558431681381,1.4319491456474296
2014-12-30,1.047761522263032,1.3445802563288909,1.3336461947454838,1.4289280293748559,1.40008540848455,1.36820243705609,1.4641994993255998
2015-01-30,1.077098844886397,1.3856899961412075,1.3375130246280005,1.4249802411998702,1.4073462871941993,1.3964352656277457,1.479530008740568
2015-02-27,1.1354776022792397,1.4558235291651387,1.4319449509027582,1.528386193443738,1.5084180693146834,1.4866779945837043,1.5588430080357496
2015-03-31,1.1570516767225452,1.534736416820545,1.437150423583445,1.5527149378605136,1.540004023625901,1.6084065094392488,1.579605102100437
2015-04-30,1.1974327802401619,1.5521677703126004,1.4956947637421485,1.5924547636793491,1.5997325573278225,1.6210579917943704,1.6083373136312213
2015-05-29,1.2080899319842993,1.6293316529359507,1.5934631843111446,1.6985588712660615,1.7095259673914625,1.6945950825476825,1.7074789531147558
2015-06-30,1.199874920446806,1.5883449969675876,1.5529850452320582,1.6510888927461251,1.6392383840758418,1.6774101737587446,1.6224397743208503
2015-07-31,1.2109137697149168,1.5942853797345702,1.5654243282027764,1.637459146240176,1.6101810910865781,1.6749991065837015,1.5922745922707675
2015-08-31,1.1467353399200262,1.4683942236616065,1.4763652154746407,1.4870736959744983,1.5107743023963855,1.6120274798507237,1.5118434862082033
2015-09-30,1.0755230753109926,1.3654753422536958,1.3962409169270709,1.3603709980672773,1.3827518659447802,1.5067033240470047,1.4133181380886037
2015-10-30,1.1751165120847904,1.507506610354288,1.5756841521834852,1.5224418743633759,1.5599408040956644,1.6727056209236346,1.600590178820654
2015-11-30,1.1732363256654548,1.5273646178540574,1.649132178235228,1.6062899731224038,1.6108598864845591,1.7052959334153253,1.6650530197241413
2015-12-30,1.1782812418658162,1.5031698252106032,1.633242107047699,1.5353756253688113,1.5297868282698324,1.6663347045561492,1.603715609031367
2016-01-29,1.089085351856574,1.3987548142455364,1.510624676254764,1.4310307144485885,1.3977808450765108,1.535728087369993,1.4859857510609786
2016-02-29,1.0681749131009277,1.2580226721943806,1.3735183620244513,1.2913715426564136,1.2707414823796015,1.4588159204332167,1.316506576560485
2016-03-31,1.122438198686455,1.3295927165918806,1.4235310437534225,1.3562232548158015,1.331243244270881,1.5521641993943311,1.3871278378843814
2016-04-28,1.1802437659188072,1.3318895041962429,1.438305813729298,1.3593672499053986,1.3512105654778817,1.5665852356879906,1.4020433443536768
2016-05-31,1.1680872551298436,1.3702652879737238,1.507098543337065,1.381929025053358,1.4018484932307387,1.6493814305588215,1.4669539829249734
2016-06-30,1.1394691173791622,1.2376300777888611,1.3112886240316024,1.2061020110481295,1.2216119793804412,1.4960042750975686,1.271809202620518
2016-07-29,1.2162693358905177,1.3121246942702285,1.4490038788403452,1.3102732383645663,1.3430827389854687,1.5784260539569852,1.4141307953996436
2016-08-31,1.2022822385277767,1.303537244834897,1.4810140575421382,1.3775086804081889,1.3826094185018163,1.5898457823243715,1.4447303722895213
2016-09-30,1.2346236307441738,1.3246927221256501,1.5009798104686283,1.37379002696301,1.3940616176365823,1.604185530506347,1.4665679100995312
2016-10-31,1.2546245335622295,1.4059165526444655,1.6174375732658501,1.4902660077738594,1.5031827963098583,1.6858624092677497,1.5824894310506286
2016-11-30,1.2060705641133713,1.5067382010552515,1.6682987941521197,1.5788815520797925,1.5978715372876477,1.766021862136848,1.6241830887396271
2016-12-30,1.222714337898136,1.58038779883777,1.7665983799005571,1.6395919023150878,1.691483561645403,1.84821194970143,1.7204462176404098
2017-01-31,1.2700333827747938,1.5989639744938113,1.77533490353677,1.661011973720364,1.7159140748452488,1.8569198360152632,1.7498301354745927
2017-02-28,1.284892773353259,1.6027599179553456,1.819649297642916,1.7307105513181211,1.7710490875559968,1.8741031292087449,1.7999384481876248
2017-03-31,1.2960713404814321,1.579116013910759,1.8600717187579234,1.7749384782262554,1.7665989416622805,1.859061895652603,1.825790813756061
2017-04-28,1.3129202679076906,1.612368753899796,1.8934561260778497,1.7970009270264526,1.787372067521028,1.8930140646589646,1.8564278251598776
2017-05-31,1.352439167971712,1.6511309597446593,1.9274623427825375,1.7939073728894261,1.7604850228795814,1.9063780534317039,1.9176958466605105
2017-06-30,1.369074169737764,1.7198137176113006,1.9730612035541848,1.848418019802508,1.8327744465603506,1.9817547724300533,1.9759346022350717
2017-07-31,1.4019319498114704,1.7432804971606728,1.9886953765806035,1.8593235703327928,1.8717479576210196,2.010175109206275,2.0024025460141335
2017-08-31,1.407399484415735,1.7329372347346723,2.0298268985631407,1.8296558351753451,1.891280918930217,2.0078052425000235,2.041312383995585
2017-09-29,1.4327326751352178,1.8064479571242666,2.1258901156749763,1.9169286347943975,1.989594213299487,2.0754248355123863,2.103519650495386
2017-10-31,1.4930507207584103,1.8840802243912331,2.2872895199950194,2.024461240593141,2.101204833135046,2.168292653663237,2.2462008343515105
2017-11-30,1.5330644800747355,1.904367509647489,2.2912838922759535,2.038650743013219,2.1736089312925495,2.22792577060648,2.31226435825005
2017-12-29,1.5542207698997665,1.9636448523335805,2.3184171876012925,2.085973082335249,2.2372306685131407,2.2697455195353924,2.356729993721549
2018-01-31,1.6244715486992363,1.9854021668023498,2.3328755290703547,2.1216274364912087,2.2487909520525133,2.257931853825686,2.3649758668485013
2018-02-28,1.6028660771015364,1.9375734946566765,2.218139691018076,1.988420841807855,2.14539523938037,2.1573991225210474,2.2317179617831777
2018-03-30,1.5809068118452452,1.913142351776202,2.143751546661181,1.9190897066801762,2.086864160405167,2.171232166615607,2.1802308002836903
2018-04-27,1.5875466204549953,1.9935518443997975,2.211040973027622,2.0077601594199805,2.127344391186608,2.231523645080026,2.2523502106698476
2018-05-31,1.5688135703336263,1.9549167727078842,2.134823561198424,1.9448690567622144,2.112555343649044,2.1694128803976396,2.164795791027456
2018-06-29,1.5308482819315525,1.95929129498145,2.092129058491522,1.9559967304762833,2.0812192973416024,2.1518590801214117,2.136721395379256
2018-07-31,1.531307536416132,1.974669675570761,2.1307231505152857,1.9947915313479756,2.094924098918099,2.199831453322634,2.1671357439789585
2018-08-31,1.5271730060678086,1.9948501078594423,2.079434004388366,1.9484943519022904,2.0783969750814766,2.185663024520625,2.1154138712314094
2018-09-28,1.5719191751455956,2.0999881274331824,2.172393240893174,2.03211751065997,2.134382294125716,2.303935138879807,2.2087745171727557
2018-10-31,1.4362625503305306,1.8628972468016989,1.9270347523377913,1.804121597370851,1.8907677725298215,2.0510893144066116,1.945201507060428
2018-11-30,1.450768802088869,1.912822356521011,1.952762320589855,1.8164187049788683,1.9281870811604398,2.090946817752064,1.998476700749123
2018-12-28,1.3476191402603503,1.7073883263149372,1.744951604852501,1.6357251561411572,1.714811209107394,1.8636938448026408,1.7727872277828818
2019-01-31,1.4206600976624613,1.7925806608064208,1.8405168447196032,1.7590522829176338,1.8555227033208708,1.959472852099292,1.88946855238453
2019-02-28,1.4273372001214748,1.8677711343214594,1.8804074613375577,1.7905602956143587,1.8962387722018506,2.003450644271696,1.948764063788579
2019-03-29,1.4324756140419121,1.8612636218508494,1.857422214174872,1.8005030953484051,1.886303225991784,1.9901641391691647,1.9416618312793568
2019-04-26,1.4528167677613073,1.927816360382801,1.9269727371742258,1.8642245232778905,1.9567579533182506,2.0662056834672815,2.0493986937693713
2019-05-31,1.4006606457986763,1.7294071328918035,1.738968476362895,1.675209388851939,1.7480647676706618,1.8921351625105771,1.8453796980116624
2019-06-28,1.4383384171706606,1.8140882113279717,1.8108638525396745,1.7492294600100389,1.8270775157151344,1.9832731271432567,1.924556389681398
2019-07-31,1.4459616107816653,1.7773495715838947,1.8422549939779695,1.784557034927103,1.846543903410793,1.999875305911763,1.946699191171164
2019-08-30,1.4297668407409108,1.7049054725518495,1.7360213890737803,1.7024946755971453,1.7669434426733288,1.9136951923925132,1.8753506602225958
2019-09-30,1.4871004910546213,1.8246872109204963,1.884279303102527,1.858445420055201,1.9037483045030923,2.0587030325805005,2.031764619800284
2019-10-31,1.5611580955091415,1.9662009058094645,2.043839007551409,2.015237884494998,2.024744404723375,2.210318634808265,2.1838616130001705
2019-11-29,1.5734912444636637,2.02062083547891,2.0643842449112175,2.051429655947446,2.073583112162904,2.24396968838927,2.216767394508892
2019-12-30,1.608422750090757,2.0546886929298025,2.097190529914302,2.091916784719811,2.1093905094572785,2.282180815845521,2.253208187149651
2020-01-31,1.5775410332890145,1.9652186744808733,2.007404247519937,1.9823730119648804,2.007696868586987,2.1813161700464634,2.158374243004036
2020-02-28,1.4202601922700997,1.7380153289382199,1.7598821378579859,1.7775358003375306,1.7886662227237748,1.9412636114126756,1.922722220760258
2020-03-31,1.3479689484835515,1.6249545196186057,1.5862846789187632,1.6156340829956939,1.640417433219928,1.8514250640777412,1.762072186887443
2020-04-30,1.414828208328336,1.6849928623511932,1.673616896948629,1.7010340993157267,1.7545424777096856,1.9573896814153064,1.869734992394611
2020-05-29,1.5059431449446807,1.82813419611004,1.7987420511831187,1.8262229641004741,1.8867944287506464,2.1108236172737653,2.013532459092218
2020-06-30,1.502780664340297,1.7878785810151383,1.7974548928239742,1.8083096224445485,1.875718211857916,2.0850594028784433,1.9991953696779283
2020-07-31,1.473175885252793,1.6433111759149908,1.6935721708504632,1.6782781017780495,1.752451994950348,1.9616410414019836,1.887971048430902
2020-08-31,1.5889675098336624,1.7796516032593457,1.823766253412539,1.8546164915618801,1.9371924943674277,2.0949717345346794,2.020481200992956
2020-09-30,1.6242425885519698,1.842531859916024,1.848568219324102,1.881388487976529,1.9912541640845567,2.1714521035671925,2.087698583314936
2020-10-30,1.5920825852986407,1.7552355126713979,1.782764726941616,1.799509139301229,1.9402321386160402,2.0651782500695557,2.009358990637819
2020-11-30,1.766097211871782,1.8612349456313413,2.0278740190517803,2.0105253396111573,2.1807085448473615,2.232226103621136,2.258633497636057
