,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.51,-8.91%,-28.93%,,
High communities,0.73,-11.09%,-24.04%,0.34,0.190
High employees,0.76,-11.95%,-32.00%,0.42,0.110
High suppliers,0.71,-10.89%,-28.99%,0.41,0.160
High shareholders,0.80,-11.29%,-28.54%,0.50,0.070
High customers,0.90,-10.94%,-19.64%,0.55,0.030
Low communities,0.79,-11.74%,-25.52%,0.49,0.080
