,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-0.82%,-3.87%,6.78%,6.78%,7.93%,22.95%,88.74%,97.76%
High communities,1.85%,-0.58%,14.81%,14.81%,46.54%,50.30%,129.68%,208.82%
High employees,4.02%,5.61%,19.54%,19.54%,49.32%,71.93%,170.36%,260.56%
High suppliers,5.97%,4.58%,13.44%,13.44%,39.81%,66.52%,143.78%,248.34%
High shareholders,4.43%,1.04%,17.07%,17.07%,48.51%,87.86%,183.04%,296.28%
High customers,4.30%,2.16%,18.04%,18.04%,55.89%,75.48%,192.71%,300.48%
Low communities,5.04%,4.18%,17.88%,17.88%,46.07%,73.42%,166.87%,290.76%
