date,High communities,High employees,High suppliers,High shareholders,High customers,Low communities
2016-10-31,0.5246576745140551,0.9149577331023443,0.8012554150820617,0.7008447365367224,1.0380346468907435,0.7807058687165462
2016-11-30,0.7306335672682005,0.9394169047041362,0.8966886449078785,0.8175364392438296,1.204042577620681,0.7936699468280962
2016-12-30,0.8118732820630827,1.0325656428663907,0.9098680884537533,0.8632898044849981,1.3036078866031227,0.9002364389298987
2017-01-31,0.7703359149570996,0.9794989439519687,0.8765107343407577,0.8262903727380342,1.2459419304964152,0.8546217013792596
2017-02-28,0.781001110779606,1.0136003319163067,0.9374589662760248,0.8769548969485097,1.260339274446395,0.8644867932849405
2017-03-31,0.6635443833251051,0.9974233712838803,0.8877490908207337,0.8086288680759428,1.114907665259002,0.8329204648024492
2017-04-28,0.5740449198573674,0.9333852831377452,0.7938556108901935,0.6620245063815859,1.0662939402337266,0.7290810490058675
2017-05-31,0.6320386293742821,1.0022376766749719,0.8273777072262729,0.6816607590124515,1.0736054964447461,0.8407092494314636
2017-06-30,0.6924875320085522,1.0004640723692377,0.8260220465415888,0.7719103049834175,1.1797944928963118,0.8373052083868802
2017-07-31,0.7404249061124095,1.0014604047566267,0.8170619334638469,0.7820842996386524,1.1814859886040086,0.8398190264493617
2017-08-31,0.7260490194077742,1.0204901536647022,0.8416874713649631,0.8665699701164685,1.3296310268562268,0.8899362023771707
2017-09-29,0.7802868835495675,1.0465186349658644,0.8360862740380073,0.8908224300472952,1.287339142746023,0.8819751705920517
2017-10-31,0.7770154155680719,1.1122545766544343,0.8582110388672332,0.9091423203267319,1.2804359132198366,0.9294105727293891
2017-11-30,0.7042066523899314,1.0435283288174046,0.8180470649908326,0.9005106454441643,1.2510108062685954,0.899808565993534
2017-12-29,0.6937274234475171,1.0343199252762778,0.8041960626167993,0.860552760057481,1.2259160173412817,0.8516548093789449
2018-01-31,0.46577508317816096,0.8118081153485365,0.5763938551822769,0.6009012441288252,1.0855402705687256,0.5851870216621083
2018-02-28,0.4518075327047692,0.8464771029620543,0.5572147256181175,0.6268712955468032,0.9080957091534122,0.5635164679845713
2018-03-30,0.28369569461127986,0.5491808098297712,0.15528612485434706,0.3120305907349994,0.7270458149047974,0.21527648701377983
2018-04-27,0.30551252859630973,0.49611229328452,0.12419051331569146,0.20831955552560485,0.6793761663646505,0.1527588368106271
2018-05-31,0.3594302862747458,0.6127007828120302,0.28423677209126996,0.444693437671802,0.6883547483514469,0.2448997801863616
2018-06-29,0.539403864345877,0.673100810051109,0.46772877806373653,0.5465238204593028,0.7290287220830933,0.42863100703467166
2018-07-31,0.3518683691677973,0.647582040685903,0.39890025813611035,0.41677553809115236,0.5273717053953527,0.3686204409316043
2018-08-31,0.5412925514659859,0.6818139821201095,0.4858525726339886,0.5375873591797387,0.6370807150901256,0.4745178558446431
