,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.92,-9.10%,-24.13%,,
High transformation,0.96,-9.43%,-18.66%,0.11,0.520
High preparation,0.90,-9.49%,-18.17%,-0.00,0.990
High advocacy,0.92,-9.02%,-16.59%,0.11,0.500
Low advocacy,0.96,-9.95%,-17.63%,0.06,0.730
