,Low advocacy,High advocacy,Low preparation,High preparation,Low transformation,High transformation
alpha,0.06,0.11,-0.09,-0.0,0.13,0.11
beta_mkt,1.02,1.07,1.04,1.03,1.05,1.03
beta_smb,0.15,0.34,0.29,0.19,0.26,0.22
beta_hml,0.33,0.34,0.3,0.34,0.32,0.29
p-value(alpha),0.73,0.5,0.68,0.99,0.45,0.52
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.01,0.0,0.0,0.0,0.0,0.0
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.95,0.97,0.94,0.95,0.95,0.94
