,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,87.92%,87.92%,87.92%
High transformation,-6.66%,-0.05%,17.66%,17.66%,29.61%,104.20%,104.20%,104.20%
High preparation,-6.98%,-1.05%,16.76%,16.76%,26.98%,94.83%,94.83%,94.83%
High advocacy,-6.91%,1.65%,17.13%,17.13%,29.36%,104.47%,104.47%,104.47%
Low advocacy,-6.45%,-0.06%,18.86%,18.86%,34.07%,101.90%,101.90%,101.90%
