,Low advocacy,High advocacy,Low preparation,High preparation,Low transformation,High transformation,Low esg_sp,High esg_sp
alpha,0.2,0.12,0.16,-0.01,0.1,0.35,0.14,0.07
beta_mkt,0.98,1.06,1.0,1.03,1.03,1.0,1.04,0.97
beta_smb,0.0,0.18,0.07,0.04,0.15,0.03,0.23,-0.18
beta_hml,0.25,0.27,0.19,0.23,0.24,0.19,0.21,0.26
p-value(alpha),0.13,0.38,0.32,0.95,0.46,0.01,0.4,0.57
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.99,0.0,0.35,0.55,0.01,0.59,0.0,0.0
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.95,0.96,0.93,0.94,0.95,0.95,0.93,0.94
