,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.97%,6.93%,-18.87%,-18.87%,23.12%,50.39%,92.10%,92.10%
High transformation,-5.16%,11.05%,-11.03%,-11.03%,39.30%,73.72%,144.48%,144.48%
High esg_sp,-4.47%,13.70%,-5.95%,-5.95%,32.19%,51.55%,98.79%,98.79%
High preparation,-4.22%,11.12%,-9.07%,-9.07%,28.90%,42.07%,85.59%,85.59%
Low advocacy,-4.81%,12.59%,-7.06%,-7.06%,31.30%,56.60%,114.19%,114.19%
