date,Market,High transformation,High esg_sp,High preparation,Low advocacy
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.9957717080052741,0.9958384900075403,1.0119047526060354,1.0099379014146315
2016-09-30,1.00831782324,0.9941840499760322,0.9991349760466471,1.0199230217884698,1.0121812689593397
2016-10-31,0.9878489714282281,1.0014279507910582,0.9861053179568698,0.986812310362756,0.9958904616269749
2016-11-30,1.0327960996282126,1.060509555282333,1.016788309819208,1.0281732572900022,1.060377700550319
2016-12-30,1.0513864294215205,1.0718885560633735,1.0345404663444235,1.0392170911736478,1.073784665963359
2017-01-31,1.0742015149399675,1.1040206416250726,1.0492200900257522,1.0669094154554497,1.0942591207386947
2017-02-28,1.1094353246299984,1.1346834922261757,1.087594136023734,1.1098804107086784,1.1392224071979673
2017-03-31,1.1120979694091104,1.1625958291058989,1.0897699327779606,1.1165228779995584,1.1440531290381957
2017-04-28,1.1219956413368515,1.1774234733948221,1.1071618621890846,1.1187079133574094,1.151853905985602
2017-05-31,1.1331033981860863,1.2062932876873615,1.142367756452063,1.1535893183522683,1.1715520368743308
2017-06-30,1.14500098386704,1.2134906630058615,1.1513730018012944,1.1687589006427483,1.2017491339637838
2017-07-31,1.1683590039379277,1.2330697320733806,1.180792958474641,1.1899776946674665,1.227079976297559
2017-08-31,1.1701115424438344,1.2479606942562935,1.2087383737265902,1.1930240577188431,1.241518737554936
2017-09-29,1.2001834090846408,1.290241695950977,1.2351593322163017,1.2282264651442305,1.2761035279518333
2017-10-31,1.2250272056526927,1.3276847515994685,1.2569899206129227,1.243486251104554,1.2997541158163444
2017-11-30,1.2612880109400122,1.3878022584992489,1.2992332293503748,1.2870360501757427,1.3466130603718311
2017-12-29,1.2773063686789503,1.4072869498163973,1.3117516545860584,1.3063150137315727,1.3677573914029257
2018-01-31,1.3455145287664063,1.4810938828653275,1.3716036878577735,1.357411486985866,1.430349221753163
2018-02-28,1.2938467708617762,1.4160236476161963,1.3097717215430509,1.292244117318287,1.3659021713994848
2018-03-29,1.2673229120591096,1.4042499853407049,1.295652311864555,1.2727772770052106,1.3459899933459485
2018-04-30,1.2735327943281993,1.4140357900536404,1.2887104272536436,1.2725929215852314,1.3392931036744673
2018-05-31,1.3072814133778965,1.432974349808597,1.2810380465663054,1.2548104628237127,1.3394787749961605
2018-06-29,1.3142100048687995,1.4471329364815628,1.2707069850300907,1.2592588273507839,1.3525629726625918
2018-07-31,1.3571846720280092,1.5086606699584864,1.3088372596319766,1.292834755293719,1.4024813397542348
2018-08-31,1.4012931738689194,1.520373146402624,1.3308477278322093,1.3156217197611317,1.4139127188861476
2018-09-28,1.404235889534044,1.5326201224482279,1.32753313033047,1.3186614379129198,1.4233289698547424
2018-10-31,1.29723311475155,1.4144305891493145,1.2376940582852676,1.2011471881819469,1.3057897347486251
2018-11-30,1.320583310817078,1.4731537966392982,1.2847369451213744,1.2448434079783863,1.358780223268306
2018-12-31,1.1973728879178447,1.3166175553327228,1.1733392636753575,1.1397324714035346,1.2307806708481712
2019-01-31,1.302741702054615,1.4490787005391819,1.2836330098957605,1.2492334470208328,1.3538853466605916
2019-02-28,1.349249580817965,1.5079124220136122,1.330878423191906,1.2987281572608098,1.4238956432726433
2019-03-29,1.36463102603929,1.5095535376923386,1.3473708926414467,1.308291988514568,1.4219503939853755
2019-04-30,1.4207173612095048,1.5649347657391863,1.376678651019871,1.3396270206287009,1.4684862875986884
2019-05-31,1.3268079436335565,1.4610326514682432,1.2803773052368905,1.2257379344281685,1.3715766090133712
2019-06-28,1.4219400731920826,1.5713722121572005,1.37400290216729,1.3130892947780808,1.4689243095046696
2019-07-31,1.4398565181143028,1.599628989532489,1.3899347866789593,1.3420165148414454,1.5022780911981086
2019-08-30,1.406451846894051,1.5683697659886162,1.3350186141914542,1.3019663209266896,1.4526212095107565
2019-09-30,1.43036152829125,1.6294825549038965,1.3859630719523945,1.3476908640552703,1.5193974436678377
2019-10-31,1.4586826865514169,1.6585720688071066,1.4023647431932402,1.3471839304181852,1.5336716004131892
2019-11-29,1.5158630478642325,1.7097440709274516,1.468011708516959,1.387624240970262,1.5721715224811286
2019-12-31,1.5602778351666546,1.7550847458667975,1.5038507359245445,1.4398219095908007,1.631265582786876
2020-01-31,1.5570012517128047,1.7400703064487295,1.4973354130579999,1.391566249068598,1.5932509710380314
2020-02-28,1.4307284501988962,1.5975807592648172,1.375287299925914,1.2480082315770138,1.442370356191454
2020-03-31,1.2308556857061104,1.3487339490924768,1.1863236941121307,1.0528940005275782,1.2503780954601007
2020-04-30,1.394928748610735,1.505767892220417,1.3185551031441836,1.215762827825081,1.389502481490883
2020-05-29,1.471091858284881,1.615072351975528,1.370206359966115,1.285577748970992,1.4462769752367246
2020-06-30,1.5069864996270321,1.667397659706299,1.3612367672184766,1.2811833749567991,1.4795556786335038
2020-07-31,1.5931861274056982,1.7506688774293486,1.4199692591143223,1.3478465255216996,1.5392559722393482
2020-08-31,1.7118784938974227,1.8224839602207823,1.5077596666950628,1.407312020452384,1.6173450432585155
2020-09-30,1.6493949288701668,1.7957985431172063,1.4569089970037565,1.3814795086429594,1.5833462173420756
2020-10-30,1.6147576353638933,1.8221896833348532,1.4313897907945459,1.3770591009489246,1.5894539285521594
2020-11-30,1.8172482428385255,2.0876039926262617,1.6005161994628938,1.5857398712446875,1.802589309317228
2020-12-31,1.9010233868333815,2.1803637470145847,1.6360828270234158,1.6419030919183049,1.8586999262859576
2021-01-29,1.8953203166728814,2.1492488436285933,1.610097753865645,1.617426443945812,1.8358918883320732
2021-02-26,1.9557810347747464,2.268990859543427,1.7261067484435872,1.7072052007987548,1.9398783744051602
2021-03-31,2.0246245271988172,2.4238164801242283,1.8537740105841238,1.829210757752991,2.089963154627633
2021-04-30,2.1284877654441163,2.552868901653043,1.9339754048412185,1.9259043857127498,2.1948036999020686
2021-05-28,2.1431743310256803,2.589360382214252,1.9832174120307904,1.9833124769115937,2.224088566269019
2021-06-30,2.1926816580723734,2.565927054628972,1.9705334424080951,1.9491778721576982,2.212515644763859
2021-07-30,2.2196516424666637,2.5861278943092603,1.979469774988144,1.9604288440447168,2.2251981039568682
