date,High transformation,High esg_sp,High preparation,Low advocacy
2018-06-29,0.5986836282796324,0.07698876699343826,-0.09189529311539901,0.22741914271383604
2018-07-31,0.6018474604776727,0.04671281520373183,-0.11824035717939618,0.21841500730489594
2018-08-31,0.7161323520526054,0.09643744401776727,-0.16437837585921378,0.22820958476905243
2018-09-28,0.7312542061125649,0.015537232881634833,-0.20237958566454234,0.24447644491230286
2018-10-31,0.35924757713577526,-0.09784732181971945,-0.3130303694031694,0.0631623361515361
2018-11-30,0.3800686191889142,-0.019512676799286366,-0.2334243706157253,0.07878666701268333
2018-12-31,0.4215726999940269,-0.033964627740725284,-0.11268117837331393,0.1824995392647668
2019-01-31,0.429968586983023,0.06644028981684169,-0.0746690779230812,0.2378723921871051
2019-02-28,0.45343181981308733,0.08142632641056302,-0.06601119308785686,0.2733741339199707
2019-03-29,0.3770501163752533,0.07402552933264306,-0.08856578208181087,0.25076139452421
2019-04-30,0.29047930376473463,-0.049309930494439214,-0.1636485683118314,0.17772302728718292
2019-05-31,0.30406168115197807,-0.09781326349599018,-0.26305641937618185,0.18675304298171402
2019-06-28,0.39416782717762755,-0.07383523990253205,-0.2720508098108707,0.10498577621894634
2019-07-31,0.4500557255904486,-0.09686727536445472,-0.21736536449130917,0.15182104530765073
2019-08-30,0.4351380797344445,-0.17646943241417057,-0.23291292512432493,0.11331086786742406
2019-09-30,0.4760934667107136,-0.024294520420670374,-0.16024868363195222,0.299025907764905
2019-10-31,0.4458168031323544,-0.04246898803741472,-0.21716008276640775,0.2590146983004792
2019-11-29,0.3761449048672513,-0.022005280476981026,-0.2572396744378966,0.20580948377099162
2019-12-31,0.30672465419497086,-0.0619134811472043,-0.24089271741558865,0.19664530744761877
2020-01-31,0.3000066550693484,-0.07159016492791459,-0.2303724631764314,0.19717155229731398
2020-02-28,0.3366454703914762,-0.04298739024235987,-0.2829723168505268,0.1708815484815801
2020-03-31,0.19856361339759876,-0.20399764959786149,-0.45735721884288705,-0.01987045464948234
2020-04-30,0.17103715855078638,-0.1607182839601209,-0.36495209903548287,0.028328427430639902
2020-05-29,0.3178916976349959,-0.014891167360898683,-0.0976479177103553,0.1403169379009679
2020-06-30,0.35328832643596675,-0.0689980594523405,-0.22622908640721917,0.1422727504640664
2020-07-31,0.33991237910295946,-0.04787908424640985,-0.1978496674132122,0.14852600369301894
2020-08-31,0.4192958525116761,-0.03802029308327137,-0.15256437313063276,0.1930066002378874
2020-09-30,0.5085331493363907,0.01227056798314019,-0.0049375300266258915,0.2697829984165404
2020-10-30,0.6967689193838479,0.07605700875712762,0.19279234960258523,0.5611514229870531
2020-11-30,0.583529212382804,-0.057317154485268196,0.13446721248737592,0.45363208766201923
2020-12-31,0.7582243024391269,-0.0978923128545034,-0.018488402743406407,0.5374513945306663
2021-01-29,0.5206823062645005,-0.19265340477461268,-0.1547472672677781,0.3600514278404121
2021-02-26,0.5180306505477195,0.06941979486847338,-0.14122793613107365,0.31491198516911884
2021-03-31,0.663236275673727,0.11187847025213787,-0.047942177776025274,0.4418695529384483
2021-04-30,0.7123894323271014,0.17939304702914094,0.04417159632183831,0.49526028030964975
2021-05-28,0.6871656908155889,0.2010831023201299,0.14614064211862504,0.4274296623150823
2021-06-30,0.6332767809474648,0.16614921957405598,0.10587420252438606,0.39973049099862157
2021-07-30,0.6184662806042146,0.12400164805679759,0.04568352520754915,0.3319793963465869
2021-08-31,0.6347769479209262,0.19461573152087172,0.042201826849672455,0.4070359329107573
2021-09-30,0.4555711039167895,0.08174978128910132,-0.07952345495151186,0.19308361197762708
2021-10-29,0.41635573620941535,0.08418195737177991,-0.06838109455495739,0.14379823334157377
2021-11-30,0.37433807859422197,-0.10733369075330745,-0.14442937314589605,0.07054271910524679
2021-12-31,0.46287318555834467,-0.024900877252858944,-0.11996585109782376,0.06986387973083341
2022-01-31,0.33552021588582304,-0.10734955963745674,-0.19298165132381373,-0.011569820648319018
2022-02-28,0.3123396852111071,-0.128460833554763,-0.04218046220414262,0.14985800129762938
2022-03-31,0.21600185496800295,-0.3858766610168106,-0.46875350581037484,-0.12529386689555555
2022-04-29,0.25821532691373655,-0.3664209945158246,-0.26226958787837146,-0.07361950728654848
2022-05-31,0.11034523120261519,-0.4610166701650344,-0.37322464385306203,-0.09020422909653947
2022-06-30,-0.03095008433739571,-0.36715017139910516,-0.2348719314800344,-0.2857118356158952
2022-07-29,0.04277584235908158,-0.35924639253826607,-0.14469751954851628,-0.15156995833582743
2022-08-31,0.1595214512859151,-0.30422674078070755,-0.058474213964411825,-0.058254863471658314
2022-09-30,-0.00972163220932215,-0.34244621998674807,-0.1946887004589446,-0.18729831549852238
2022-10-31,-0.1354750539585129,-0.344930644815014,-0.25170782108358314,-0.2578383758428231
2022-11-30,-0.12051346138610797,-0.28326432639432264,-0.23789339500789938,-0.21815337087570125
2022-12-30,-0.08405920375856596,-0.15835547370080516,-0.10703891711557867,-0.0835038213558682
