,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.67,-10.40%,-24.13%,,
High transformation,0.86,-11.76%,-23.15%,0.35,0.010
High esg_sp,0.71,-11.42%,-21.11%,0.07,0.570
High preparation,0.61,-11.54%,-26.87%,-0.01,0.950
Low advocacy,0.76,-11.49%,-23.35%,0.20,0.130
