date,High planet,High people plus prosperity,Low people plus prosperity
2015-06-30,-0.03704907286671133,0.47679058718457085,-0.03704907286671133
2015-07-31,-0.03528381008821391,0.5307476550505034,-0.03528381008821391
2015-08-31,0.005863909032004344,0.4723723942788978,0.005863909032004344
2015-09-30,-0.004133078628710374,0.5345660663061205,-0.004133078628710374
2015-10-30,0.01907745651728765,0.47033032659354007,0.01907745651728765
2015-11-30,0.045620189775703146,0.5491929188104668,0.045620189775703146
2015-12-31,0.11928267631356337,0.529421540756221,0.11928267631356337
2016-01-29,0.2564606705886866,0.7333924815095059,0.2564606705886866
2016-02-29,0.2923586276345054,0.6023571778015931,0.30193666765523985
2016-03-31,0.3261578197902834,0.7135224094509511,0.33580620147803103
2016-04-29,0.25277302330928725,0.7348931113486097,0.26135069113571824
2016-05-31,0.2729282949845987,0.7172559920928139,0.28146278124895463
2016-06-30,0.31740236129536603,0.7734065545805582,0.32625027623080527
2016-07-29,0.32124645677866737,0.8320028213767939,0.32985682231758867
2016-08-31,0.2131027896995272,0.7594655074677817,0.22695453088148096
2016-09-30,0.2570561074768378,0.7696896137922693,0.27015317479378576
2016-10-31,0.2307383083141083,0.7696747262056967,0.24374265636983505
2016-11-30,0.2324216116474588,0.7741432665896292,0.23002730828219176
2016-12-30,0.2102930786085962,0.7796717885411125,0.20581009853883134
2017-01-31,0.20584478739149292,0.7461941722569129,0.2049022069171182
2017-02-28,0.1999421821546744,0.6888634647088482,0.1984088035657692
2017-03-31,0.2115885002738923,0.6675794725546278,0.1946508734348561
2017-04-28,0.2729488344061936,0.7221482127021007,0.24983835798162268
2017-05-31,0.2827383028919945,0.8140698194109631,0.25711935721545104
2017-06-30,0.3110421894654871,0.766459853918159,0.28730611053844485
2017-07-31,0.25542994628964466,0.7591146476202029,0.23502744522714752
2017-08-31,0.28289905960004624,0.7736120164483467,0.24278835079291544
2017-09-29,0.30730023841940696,0.6923530600910075,0.2616443915744019
2017-10-31,0.3154567333040812,0.6088581719963346,0.26815117628248486
2017-11-30,0.347931349141364,0.5256496539662396,0.29622236263779167
2017-12-29,0.3580060195291687,0.5468341361813053,0.30975347134018366
2018-01-31,0.41213215066609976,0.4498666197712302,0.36611851651645677
2018-02-28,0.3997127224746523,0.4517012307584501,0.31491348913688477
2018-03-29,0.5394862965783884,0.517934329298086,0.4462709340227915
2018-04-30,0.405596747510137,0.3023120069873999,0.2982336295914323
2018-05-31,0.39939971214012193,0.33109209242975957,0.2903386252645162
2018-06-29,0.3087281587334896,0.2641182040097894,0.20059596005760183
2018-07-31,0.3642763704091459,0.26340490013704243,0.24777677358136815
2018-08-31,0.4811750128834492,0.3123572094736118,0.34695613319180607
2018-09-28,0.4047153140709452,0.2533983295654925,0.26730077381576
2018-10-31,-0.13482581989448128,-0.004481934400258125,-0.2620662248469432
2018-11-30,0.12144436742913645,-0.20998746230288012,0.014357113085579964
2018-12-31,0.13815073125594868,-0.33297926143326184,0.035485467828211825
2019-01-31,0.20906078464733047,-0.30594283099153285,0.11037371817043184
2019-02-28,0.22836766969803923,-0.31173117104476444,0.13045994219716994
2019-03-29,0.19518356407899629,-0.3291368901812224,0.10235021741481654
2019-04-30,0.19743294006018974,-0.32598601996741794,0.10930217802466946
2019-05-31,0.2337982446926159,-0.4277459896931691,0.14987962232529983
2019-06-28,0.31537424868995,-0.3078877200751404,0.22340983891534205
2019-07-31,0.3889717689135812,-0.25453260305626413,0.2994328933757342
2019-08-30,0.39215463265884765,-0.2676983291856649,0.30974984693846286
2019-09-30,0.39490102933455207,4.314157430163057e-05,0.3365752877315792
2019-10-31,0.3197626568995965,-0.052419527851689574,0.2656462222511846
2019-11-29,0.2939659385346517,-0.09927451119318942,0.23943868639437715
2019-12-31,0.17863855562349162,-0.008671553664238718,0.125881827218412
2020-01-31,0.16165432368135246,0.0021846924978980997,0.10907961733682614
2020-02-28,0.15384429883406625,-0.11369874447137662,0.1112241423954261
2020-03-31,-0.1410212595973288,-0.22785432435142683,-0.15617621342545496
2020-04-30,-0.05521213912893841,-0.01431111455693257,-0.05756554412651438
2020-05-29,0.04446724840298466,0.056592427274080315,0.04385519257149162
2020-06-30,0.06410544148654207,-0.08035588373917668,0.05818180579649601
2020-07-31,0.06405423602441562,-0.04318582947544769,0.0673121742950058
2020-08-31,0.18066767508889625,-0.027117811657817015,0.1839884825255813
2020-09-30,0.42459086045802175,0.09611129952407582,0.4279046292145925
2020-10-30,0.8162641153568759,-0.2187525269280315,0.8095980708749325
2020-11-30,0.47182566501554074,-0.2332994315328979,0.4591222916482879
2020-12-31,0.5775947041391788,-0.45734751276512786,0.5652393688520979
2021-01-29,0.3723432212941683,-0.49961368159783376,0.3621996928409467
2021-02-26,0.5605794939301804,-0.6447168548837421,0.5537610042268623
2021-03-31,0.7603585252517326,-0.6440043821299993,0.7536885221669469
2021-04-30,0.7648702407053936,-0.6207238349454113,0.7579194479993379
2021-05-28,0.754657032648602,-0.5931780029242045,0.7480102123188939
2021-06-30,0.6196778386600172,-0.6349770497273868,0.6127996606795338
2021-07-30,0.605093035222364,-0.7028172136680053,0.5944780968143584
2021-08-31,0.5656767120338,-0.7276781975425207,0.5554027498802437
2021-09-30,0.5647430268870699,-0.7921328236593267,0.5552330433082913
2021-10-29,0.5859656679341834,-0.7400867385257776,0.5760151073120812
2021-11-30,0.4512532247732592,-0.7299572876637959,0.44082695961856394
2021-12-31,0.5004862007107133,-0.7680843270138058,0.4897176187394975
2022-01-31,0.3589747139491432,-0.7586065210377697,0.34861507357388616
2022-02-28,0.33082999461673057,-0.5044897335014988,0.3213421906504256
2022-03-31,0.22184639835264736,-0.40529489952921194,0.21649758016695964
2022-04-29,0.34834844999092085,-0.2089064494853724,0.3425755488150386
2022-05-31,0.22660519678240082,-0.263787968753223,0.21804451777666362
2022-06-30,0.06190898498111941,-0.051802050287849795,0.05088935761961974
2022-07-29,0.07897846873341291,0.0067555292996009375,0.0687062370647662
2022-08-31,0.06934061531422864,0.07118040341216586,0.058258742875203606
2022-09-30,-0.33578264407926217,0.08495189642557938,-0.3474712504557824
2022-10-31,-0.4565449102353385,0.1932706211302631,-0.46381443619010854
