date,Market,High planet,High people plus prosperity,Low people plus prosperity
2013-07-31,1.0,1.0,1.0,1.0
2013-08-30,0.9747,0.9819452915930413,0.9970561382447394,0.9819452915930413
2013-09-30,1.01193354,1.0327893873189302,1.0267227552096638,1.0327893873189302
2013-10-31,1.053321621786,1.076126838020894,1.0895658421777108,1.076126838020894
2013-11-29,1.0827092950338295,1.096578513358759,1.1091082501176588,1.096578513358759
2013-12-31,1.1112928204227226,1.1189040880446035,1.1426225562685064,1.1189040880446035
2014-01-31,1.0732866059642654,1.0659972446702637,1.0986694054779367,1.0659972446702637
2014-02-28,1.1239457337657786,1.1253761195982142,1.161952608380546,1.1253761195982142
2014-03-31,1.1309141973151264,1.1408538986746486,1.1751280857262392,1.1408538986746486
2014-04-30,1.1337414828084142,1.1603315315340772,1.1938475264462263,1.1603315315340772
2014-05-30,1.1561895641680209,1.1767980464176158,1.2070568953088756,1.1767980464176158
2014-06-30,1.1886784909211423,1.2191721079967313,1.2484783635765846,1.2191721079967313
2014-07-31,1.1641917140081668,1.182585565640468,1.2038947525026853,1.182585565640468
2014-08-29,1.2114578975968984,1.248987956423008,1.253413235373079,1.248987956423008
2014-09-30,1.1817771791057745,1.2044651666499706,1.2219098966116801,1.2044651666499706
2014-10-31,1.2057672558416217,1.2518375513173807,1.246691600870007,1.2518375513173807
2014-11-28,1.2325352889213057,1.2732890436741198,1.2782734921763816,1.2732890436741198
2014-12-31,1.230070218343463,1.27553450670357,1.274479667569936,1.27553450670357
2015-01-30,1.187386781766945,1.2353040429388953,1.2592166112353367,1.2353040429388953
2015-02-27,1.2604110688456123,1.3099220694376439,1.3349478523572456,1.3099220694376439
2015-03-31,1.245286136019465,1.2986101148260265,1.3395401868670511,1.2986101148260265
2015-04-30,1.259108812129281,1.2864086270107724,1.3665994094989868,1.2864086270107724
2015-05-29,1.2716999002505738,1.2865697030230603,1.3945014156684203,1.2865697030230603
2015-06-30,1.250081001946314,1.2615153897690574,1.3771473396292628,1.2615153897690574
2015-07-31,1.2632068524667501,1.2794699773540972,1.3747282321206626,1.2794699773540972
2015-08-31,1.1882986861154718,1.205519313711905,1.31543043858917,1.205519313711905
2015-09-30,1.1484906801306036,1.1638322672975796,1.2841513008080896,1.1638322672975796
2015-10-30,1.234972028344438,1.2730712057226075,1.3696240233706785,1.2730712057226075
2015-11-30,1.240529402471988,1.2754157474128556,1.3912753890542764,1.2754157474128556
2015-12-31,1.2102604850516714,1.2543959536603362,1.3544677603132813,1.2543959536603362
2016-01-29,1.1410335853067157,1.1941387991566128,1.3271810642255601,1.1941387991566128
2016-02-29,1.1442284793455744,1.2117908948575657,1.323763242249621,1.213842278968954
2016-03-31,1.2245533185956337,1.3212403309463046,1.4379280732855726,1.3234769968873763
2016-04-29,1.2383907710957645,1.3391481133904277,1.487496779340162,1.3414150945785703
2016-05-31,1.255728241891105,1.359803878778721,1.4879517228667112,1.3621058271456945
2016-06-30,1.254598086473403,1.3758989277564597,1.512900774778592,1.378228122678829
2016-07-29,1.304029251080455,1.4299293033377374,1.5614321231781483,1.4323499637550778
2016-08-31,1.3098973827103169,1.4211436786740155,1.5648904538746218,1.4251955513150012
2016-09-30,1.314613013288074,1.4311187066152955,1.5769145358800467,1.4351990194086843
2016-10-31,1.287926369118326,1.4184887089066651,1.572708776822365,1.4225330118701267
2016-11-30,1.34652701891321,1.4724341586354084,1.689248803143684,1.4691907130882287
2016-12-30,1.3707645052536477,1.5010267990422537,1.7162351905699658,1.496573708264579
2017-01-31,1.400510095017652,1.541612176516789,1.792071692178006,1.5365053141981828
2017-02-28,1.4464468261342307,1.5915858790516006,1.8156686431155535,1.587176420379022
2017-03-31,1.4499182985169528,1.610103864327849,1.8252538944607857,1.60175525113579
2017-04-28,1.4628225713737535,1.6220116508836384,1.852020598947533,1.6120241860323434
2017-05-31,1.4773045148303536,1.6288439257005483,1.922905738044271,1.6188143914198807
2017-06-30,1.4928162122360722,1.658726707463906,1.939838762121486,1.6485131712789625
2017-07-31,1.523269662965688,1.6681715552244267,1.969475758125503,1.657899862808002
2017-08-31,1.5255545674601363,1.689321654177815,1.9607805275575845,1.6730365946341499
2017-09-29,1.5647613198438615,1.7282903757581753,1.9756828001816265,1.7073493088430503
2017-10-31,1.5971518791646293,1.7569972677111805,1.9753803834854509,1.7332852031881245
2017-11-30,1.644427574787902,1.8140272542103129,2.0386589271036226,1.7895455250187522
2017-12-29,1.6653118049877083,1.8566042572834045,2.053434380721932,1.8315479178391012
2018-01-31,1.7542394553740521,1.9221497976527657,2.1017993115964284,1.896208869421104
2018-02-28,1.6868766602876886,1.8711307208121666,2.01816610733724,1.8419214081989934
2018-03-29,1.6522956887517908,1.8714017446549567,2.004293892654559,1.8363796913784742
2018-04-30,1.6603919376266747,1.8452084987601898,1.9793583405555248,1.8072436114286632
2018-05-31,1.7043923239737815,1.858504646616341,1.9991059610631652,1.8202661930424948
2018-06-29,1.7134256032908426,1.859409715618489,2.0187887205807247,1.8224807536708103
2018-07-31,1.7694546205184531,1.9369081984129233,2.0748674734017936,1.892244979784891
2018-08-31,1.8269618956853029,1.9218837363254044,2.099554161182709,1.8775669671757385
2018-09-28,1.830798515666242,1.9156899568237113,2.091154541451476,1.8715160102033963
2018-10-31,1.6912916687724744,1.7382124819038407,1.9440432451552856,1.6981309931864828
2018-11-30,1.721734918810379,1.8439813487211967,1.9767701070306611,1.8014674044485932
2018-12-31,1.5610970508853708,1.6720363626772325,1.7985866503053969,1.6334866990410337
2019-01-31,1.6984735913632836,1.8554021645962915,1.9759293973818286,1.8126249075033074
2019-02-28,1.759109098574953,1.938373568681996,2.01778828085159,1.8936833629293275
2019-03-29,1.7791629422987074,1.946377901104466,2.028714389054857,1.9015031513254794
2019-04-30,1.8522865392271841,2.0374023473442167,2.1101817294947853,1.9904289818511585
2019-05-31,1.729850398984267,1.9122938145340826,1.941979818068316,1.8682048910098144
2019-06-28,1.8538806725914392,2.092769711591746,2.123364844604087,2.044519822862825
2019-07-31,1.8772395690660912,2.117861889237224,2.164206101818043,2.0704575384407398
2019-08-30,1.8336876110637579,2.100187470757545,2.0841454306012985,2.0531787285406344
2019-09-30,1.864860300451842,2.139604786798517,2.1484785651544662,2.09171376217851
2019-10-31,1.9017845344007887,2.142352968551977,2.14046758418096,2.094400431057804
2019-11-29,1.9763344881493,2.210022751061056,2.1919366578856563,2.1605555528967586
2019-12-31,2.0342410886520748,2.2623958684168075,2.293482331364051,2.2117563966306775
2020-01-31,2.0299691823659054,2.2765675504507232,2.19471018237071,2.225610872245267
2020-02-28,1.8653386816760305,2.1027264489498387,1.9578464709312693,2.0556608764865816
2020-03-31,1.6047508678458888,1.8354511067744435,1.5568642641402608,1.7943679896092022
2020-04-30,1.8186641585297458,2.0506033284037457,1.8042874686883243,2.004704433854441
2020-05-29,1.9179632215854698,2.161269601360333,1.8837854423952025,2.112893650657729
2020-06-30,1.9647615241921552,2.203152036058976,1.8800688898093083,2.1538386259135467
2020-07-31,2.0771458833759464,2.3071848360651206,1.956449398306835,2.255542847568622
2020-08-31,2.2318932516874543,2.4268378380651483,2.0543582415086084,2.3725176424062817
2020-09-30,2.150429148000862,2.4257179242846796,1.9948086760077344,2.3714227957871707
2020-10-30,2.105270135892844,2.444080783478118,1.926218133606909,2.3865498213206675
2020-11-30,2.3692710109338067,2.712795334106204,2.2130663959851082,2.645776627955699
2020-12-31,2.478494404537855,2.806021444183936,2.289561377571753,2.7373189179627597
2021-01-29,2.4710589213242415,2.7623497096902403,2.2723761922720165,2.694716440616188
2021-02-26,2.549885700914485,2.9266169407836458,2.377559996235619,2.854961758842582
2021-03-31,2.6396416775866745,3.1441425897421067,2.5311722300310735,3.0671615177825178
2021-04-30,2.7750552956468706,3.316375940284822,2.6657741291022092,3.2351779132815186
2021-05-28,2.7942031771868336,3.3615681121774896,2.7612007348932277,3.2792636016934975
2021-06-30,2.858749270579849,3.3077620098613547,2.752409702609932,3.226774886014908
2021-07-30,2.8939118866079814,3.3327406043104144,2.7546096983772745,3.2511419054727426
2021-08-31,2.9752308106216656,3.4305782476121203,2.8222800335685627,3.3465840955008157
2021-09-30,2.8478909319270587,3.3115462792740855,2.6692717054978212,3.230466501514001
2021-10-29,3.0378452570865933,3.441789143566655,2.8389411173785875,3.3575205042895893
2021-11-30,2.9825564734076173,3.3179591738023406,2.7510528594006227,3.236722382967607
2021-12-31,3.086945949976884,3.4785734922664187,2.9089342710119674,3.3934042263436397
2022-01-31,2.909755252448211,3.3761018672765655,2.784243397144137,3.2934415128652734
2022-02-28,2.8451586858438604,3.3073909247232445,2.8463243380088414,3.2264128865117216
2022-03-31,2.938479890739539,3.457884986894726,2.974751936205612,3.3718662185900734
2022-04-29,2.671372068671315,3.302902995648734,2.796151667350977,3.2205327258184204
2022-05-31,2.668967833809511,3.341514341226393,2.8248741059993496,3.2547400316329123
2022-06-30,2.444774535769512,3.0234728409554577,2.5690432041359026,2.944957610566753
2022-07-29,2.6726275225032303,3.242865684313128,2.7831374020682023,3.1586531381064926
2022-08-31,2.576947457197615,3.1505879334062112,2.6894501882960036,3.068067116717966
2022-09-30,2.3421875438469124,2.8140105813502836,2.483565434934085,2.7403054646385168
2022-10-31,2.5340127036879747,3.0795085498331667,2.7573157582268886,2.998849458291505
2022-11-30,2.66350075284643,3.3160938099174238,2.8987946877017063,3.2292380308713295
2022-12-30,2.5044897579014984,3.1999581577230765,2.7574453163304495,3.116144226442627
2023-01-31,2.6828094286640853,3.4426063666468116,2.947883265017,3.352436945917548
2023-02-28,2.6200316880333454,3.34929337903048,2.8413160002539306,3.2615680303628376
2023-03-31,2.689462527766229,3.3861637210229687,2.8326292390972836,3.2974726571310233
2023-04-28,2.7174329380549977,3.3982373731173845,2.8802075858966583,3.309230073763265
2023-05-31,2.7244982636939405,3.3124607280566076,2.747570460363922,3.2257001074027207
2023-06-30,2.9119437442360834,3.6315960419105235,2.9691276626892895,3.5364765665635027
2023-07-31,3.0167737190285826,3.759642271601524,3.0927595556337466,3.6611689843085125
2023-08-31,2.9567399220199135,3.6550659983467164,3.042409987267547,3.552888038530738
2023-09-29,2.8189558416537857,3.4745061065093275,2.923166933997425,3.377375727607314
2023-10-31,2.7383337045824874,3.302745851980677,2.83785551107245,3.210417058711631
2023-11-30,2.9916295722563677,3.594038215703377,3.0667244916902603,3.4935662973994828
2023-12-29,3.1495876136715037,3.8239118580925036,3.2395685707900075,3.717013785020019
2024-01-31,3.183918118660523,3.785712357257577,3.2214364164063958,3.6798821573953346
2024-02-29,3.3510738198902006,3.987863540896556,3.3889557466285725,3.876382172073764
2024-03-28,3.4609890411825988,4.232731990163721,3.5424016905282563,4.114405284326293
2024-04-30,3.3163196992611663,4.0889108975826876,3.3666855071439254,3.9746047335973307
2024-05-31,3.471523461186589,4.225103974848628,3.449033954255707,4.106990511410296
2024-06-28,3.5701147274842877,4.195481298735223,3.445202609013361,4.078195941987968
2024-07-31,3.639017941724734,4.380680060001916,3.664871305445095,4.258217441997206
2024-08-30,3.7176207292659877,4.432148567058062,3.7612213752457144,4.308018829153724
2024-09-30,3.7960625266534995,4.548643084551959,3.786652848137429,4.421250722729442
2024-10-31,3.770249301472256,4.557283487078316,3.766901578004043,4.429649136323172
2024-11-29,4.027003278902517,4.892535159085208,4.134602782711866,4.756783400875468
2024-12-31,3.9029715779123193,4.564110760626509,3.8506084798167146,4.437471699225285
