,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.86,-9.25%,-24.13%,,
High planet,0.93,-10.25%,-19.38%,0.24,0.060
High people plus prosperity,0.79,-10.15%,-32.12%,0.13,0.310
Low people plus prosperity,0.91,-10.25%,-19.38%,0.21,0.090
