,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,217.30%,290.30%
High planet,-6.71%,0.34%,19.36%,19.36%,31.21%,101.74%,257.82%,356.41%
High people plus prosperity,-6.87%,1.69%,18.86%,18.86%,32.37%,67.89%,202.13%,285.06%
Low people plus prosperity,-6.71%,0.37%,19.38%,19.38%,30.77%,100.63%,247.89%,343.75%
