date,Market,High customers,High suppliers,High employees,Low communities
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.9984830905723143,1.0055093915900322,1.0081940392639355,1.0025490832828516
2016-09-30,1.00831782324,0.9963111047605617,0.9997310441211957,1.006045686228754,1.0046830877352952
2016-10-31,0.9878489714282281,0.9922006624730576,0.9910657173457063,0.9896464570781545,0.9891271460852072
2016-11-30,1.0327960996282126,1.0607202115113277,1.0300647766351787,1.0388724083946512,1.05585971494947
2016-12-30,1.0513864294215205,1.0884292754577038,1.0452658485130628,1.0405024900048472,1.077620089778639
2017-01-31,1.0742015149399675,1.1162641407010572,1.0521260561871693,1.066196725802249,1.0980687459449272
2017-02-28,1.1094353246299984,1.1450087795132653,1.0993734889745845,1.1119183168404914,1.1422762123890144
2017-03-31,1.1120979694091104,1.152256249966532,1.1012889064404676,1.1194438139425478,1.1500255166169875
2017-04-28,1.1219956413368515,1.1811588048486483,1.1153074535411907,1.134883024337349,1.1555073410960284
2017-05-31,1.1331033981860863,1.212424964367075,1.126268810684447,1.161203660256254,1.187375608757613
2017-06-30,1.14500098386704,1.2215454307391056,1.1472912452464188,1.1720049673238413,1.195103700570926
2017-07-31,1.1683590039379277,1.247106097827855,1.1556372753885111,1.2126664160767362,1.2218482555624528
2017-08-31,1.1701115424438344,1.2501576575852587,1.1708737012308346,1.214074159692063,1.229417790132738
2017-09-29,1.2001834090846408,1.2753736341134203,1.1981159707030886,1.2668642266115795,1.2729190349995976
2017-10-31,1.2250272056526927,1.3138296685742001,1.2242529920373142,1.2791327984792256,1.296960414881574
2017-11-30,1.2612880109400122,1.3609993410203387,1.264919182773329,1.3352692673914066,1.3575200656262927
2017-12-29,1.2773063686789503,1.3754764240950745,1.2637132126904225,1.3537792704117824,1.358927534964215
2018-01-31,1.3455145287664063,1.4350742806903412,1.3111116910310177,1.4023733207468756,1.4130456383119934
2018-02-28,1.2938467708617762,1.356777950171959,1.2649231367693619,1.322933426654506,1.3540799645763708
2018-03-29,1.2673229120591096,1.3274572027817293,1.247352748419312,1.3010122236979524,1.3404166643465845
2018-04-30,1.2735327943281993,1.3396216007419108,1.2432323892726267,1.2903096191985626,1.3381375513684322
2018-05-31,1.3072814133778965,1.347016503666902,1.2414076362324449,1.28555002954702,1.3360509705581398
2018-06-29,1.3142100048687995,1.3566159245330405,1.2535562307704269,1.2943075838683078,1.3570892925954645
2018-07-31,1.3571846720280092,1.419541707566549,1.2941552832369307,1.331658215347491,1.3970743714483793
2018-08-31,1.4012931738689194,1.446744582372701,1.30613634420891,1.3689577268575428,1.428180176882876
2018-09-28,1.404235889534044,1.4426142575226288,1.299583997981807,1.3436750363026957,1.4283076520666462
2018-10-31,1.29723311475155,1.3557070076082849,1.1997309764359254,1.232280281979286,1.2853959564619373
2018-11-30,1.320583310817078,1.3853854563234966,1.252713675928073,1.2419485679539919,1.3064995321101558
2018-12-31,1.1973728879178447,1.2366735204518609,1.1250918622695503,1.1165573615867914,1.1843213056911839
2019-01-31,1.302741702054615,1.355675295854275,1.2249510109335617,1.2321672717677459,1.312801427034199
2019-02-28,1.349249580817965,1.4162971772718147,1.262485202490175,1.2767029775899448,1.3680304185065746
2019-03-29,1.36463102603929,1.4120179800346482,1.2727403610541665,1.3027963308810295,1.387233871853906
2019-04-30,1.4207173612095048,1.487061547015871,1.3134554685932995,1.356317363060798,1.4294107967154408
2019-05-31,1.3268079436335565,1.4000569454241962,1.1857006341386267,1.2257293606226185,1.2975191206081904
2019-06-28,1.4219400731920826,1.5209587283352226,1.2631984969352257,1.3188259313257868,1.3959570321587054
2019-07-31,1.4398565181143028,1.5384963494945791,1.2778247180436577,1.3527530398246557,1.42422734907955
2019-08-30,1.406451846894051,1.4890258332226192,1.215691085852614,1.3344285411450414,1.4159806840253333
2019-09-30,1.43036152829125,1.5361192415261615,1.2806343771934674,1.382407214756726,1.4620604474609813
2019-10-31,1.4586826865514169,1.5555419689473975,1.2958235313563633,1.3979082632921922,1.4689159200531254
2019-11-29,1.5158630478642325,1.5924916314700448,1.3462261607674693,1.4542979324192686,1.4965838304450028
2019-12-31,1.5602778351666546,1.632498521008106,1.398726626726681,1.4936581625390595,1.5371338491055506
2020-01-31,1.5570012517128047,1.6320471365725184,1.3477744595141985,1.4490552908430483,1.5142027418262682
2020-02-28,1.4307284501988962,1.465729188611836,1.2104143147455975,1.3145805839796825,1.373137394392124
2020-03-31,1.2308556857061104,1.2349954910373975,0.9879043428013006,1.0638590377071868,1.1642072418368357
2020-04-30,1.394928748610735,1.393851944376807,1.1308121597090954,1.2265400360631713,1.3254797977146218
2020-05-29,1.471091858284881,1.4615078230775909,1.1852356784660403,1.3142156077847118,1.4046622154816868
2020-06-30,1.5069864996270321,1.4758476606568545,1.2067340444764523,1.3258282686460463,1.429558707892382
2020-07-31,1.5931861274056982,1.5669653479437873,1.2398899113819775,1.4087282797954452,1.519656019926373
2020-08-31,1.7118784938974227,1.6529224440388108,1.3014017702972696,1.4765391837327142,1.5950067366095608
2020-09-30,1.6493949288701668,1.610849948300498,1.2666489772078207,1.447345472710411,1.5731298645731324
2020-10-30,1.6147576353638933,1.5882949505364858,1.248265876101409,1.453592198256853,1.5716029178315967
2020-11-30,1.8172482428385255,1.8038942048221769,1.3998053196595353,1.6799659048098583,1.8029761660229633
2020-12-31,1.9010233868333815,1.8614307828879557,1.4465944650840061,1.7421112172707267,1.8730058716179085
2021-01-29,1.8953203166728814,1.8408281937184532,1.4396499501711428,1.7317874672583882,1.8403538935900237
2021-02-26,1.9557810347747464,1.956509935012695,1.5016090455627544,1.8508513810135514,1.9519609280526748
2021-03-31,2.0246245271988172,2.115043078518474,1.6182224359505595,1.9880640659863416,2.090658191065725
2021-04-30,2.1284877654441163,2.196112679329634,1.672464191222211,2.0851302841121244,2.1964720028761935
2021-05-28,2.1431743310256803,2.237845016554019,1.7228425671776337,2.152816505938954,2.2438918684129088
2021-06-30,2.1926816580723734,2.208603013065458,1.7219013750261438,2.123922945542001,2.2225857741276633
2021-07-30,2.2196516424666637,2.227686548266754,1.7215231351274993,2.1458447745691767,2.2501798888889275
2021-08-31,2.282023853619977,2.3021842099486025,1.7460785353168817,2.2179549466500506,2.354817010281602
2021-09-30,2.184353232685042,2.239302503674541,1.6765091230185962,2.1383711117455486,2.244300929952911
2021-10-29,2.330049593305134,2.32938988273726,1.7435569762236687,2.2967404407881364,2.355693744677223
2021-11-30,2.287642690706981,2.292947222888099,1.7086237702949902,2.2121560370471545,2.314486636056162
2021-12-31,2.3677101848817252,2.4049074891805056,1.8207358618850635,2.316937006664417,2.4162861145456582
2022-01-31,2.231803620269514,2.319468469377296,1.7690056127491145,2.2204727222578517,2.294372139702527
2022-02-28,2.182257579899531,2.3370484066560064,1.7633222443549454,2.260678474258614,2.3052038330085023
2022-03-31,2.2538356285202354,2.378187900378687,1.8191983532623262,2.3477104653053558,2.393814193350023
2022-04-29,2.048961969887746,2.2813431255608903,1.736595726876274,2.185936673483764,2.2409215892654437
2022-05-31,2.047117904114847,2.312481091065418,1.767581138015052,2.2301594963216194,2.2581231701572695
2022-06-30,1.8751600001692,2.0850426023564634,1.5838703290899292,1.9965270261655341,2.0319312213929455
2022-07-29,2.049924912184969,2.2600215053681785,1.706452655931496,2.20976441542221,2.26703046098553
2022-08-31,1.9765376003287474,2.218952577128604,1.6791374032984356,2.143900487700773,2.1918578221152165
2022-09-30,1.7964750249387986,2.053119259117117,1.5254387877688746,1.9609497392926742,2.0037894020512095
2022-10-31,1.9436063294812864,2.259801437177571,1.699979425048017,2.15900608436634,2.2439243448618917
2022-11-30,2.04292461291778,2.3956886112304394,1.8013492968543394,2.248549287254735,2.3831340265383827
2022-12-30,1.9209620135265884,2.2762127726599077,1.7220574599613556,2.1302582682385443,2.2675968566476064
2023-01-31,2.057734508889682,2.4411830726975174,1.8022674790680089,2.2887593481816904,2.4408887137688553
2023-02-28,2.0095835213816633,2.368310563199745,1.7574919746981126,2.2208535202829838,2.380323794727532
2023-03-31,2.062837484698277,2.3204321473403207,1.751366757546775,2.164273115666354,2.3428104781504437
2023-04-28,2.0842909945391392,2.3091958446894156,1.7734515974513014,2.190555271299838,2.3486414419794106
2023-05-31,2.0897101511249407,2.207899917503502,1.6907099945361503,2.1291073967447427,2.2714157949137372
2023-06-30,2.233482209522337,2.3753719323488642,1.8081205724616494,2.324185383257538,2.483618530673279
2023-07-31,2.313887569065141,2.4891049092819992,1.887600220616431,2.4250340441378575,2.588497187727846
2023-08-31,2.2678412064407447,2.392750045501328,1.8179648820019438,2.3992538986843224,2.529546310607268
2023-09-29,2.162159806220606,2.3138289874190545,1.7533684586740526,2.2980485099289445,2.418810953838896
2023-10-31,2.100322035762697,2.2514552042541025,1.698753431168041,2.226611419345532,2.3213871613754526
2023-11-30,2.2946018240707464,2.4470551251715387,1.830846049671757,2.4243704298885613,2.546669951741617
2023-12-29,2.415756800381682,2.588854561120254,1.9554564401644405,2.5626748321035433,2.7208068968771295
2024-01-31,2.4420885495058418,2.595989687852454,1.9194297303420664,2.553338838175183,2.6916234814591897
2024-02-29,2.5702981983548985,2.7171659339373417,1.9968819951881924,2.700711706478063,2.8603816713022594
2024-03-28,2.654603979260939,2.8394369094936813,2.1032490837952014,2.832989781773201,3.024497444492775
2024-04-30,2.5436415329278317,2.674271769156391,2.009888157306636,2.6726452707425956,2.856545795373209
2024-05-31,2.6626839566688543,2.7713386372278017,2.077583674328882,2.7621806270090437,2.9749779122081255
2024-06-28,2.7383041810382496,2.7368264651120535,2.0322472397653377,2.736057903596362,2.9346341571551746
2024-07-31,2.7911534517322876,2.939216672824001,2.152389402298089,2.9239402171382243,3.1359283844760535
2024-08-30,2.8514423662897044,3.028789155010477,2.220768039879239,2.9883592158473107,3.197727585976757
2024-09-30,2.911607800218417,3.1203279069675065,2.288893330344412,3.0432154567052145,3.250892888081352
2024-10-31,2.8918088671769318,3.1321100269936895,2.268705845098726,3.0396701314333625,3.205026521048599
2024-11-29,3.088741051031681,3.4140558176464935,2.42616914072352,3.283783594642629,3.457414839952627
2024-12-31,2.9936078266599053,3.119601993687886,2.29178926816425,3.0442619289112316,3.206846909038723
