date,High customers,High suppliers,High employees,Low communities
2018-06-29,0.27996300291115905,0.10935600290380129,-0.024792570799556102,0.2694163351023891
2018-07-31,0.2648087013922247,0.10333258478799881,-0.06011027028942517,0.23643716968485673
2018-08-31,0.33350665064953267,0.1107856532577641,-0.08185315187844588,0.2793673748548901
2018-09-28,0.2899353677199266,0.0848062477879735,-0.17998177596791798,0.2661903451566462
2018-10-31,0.2841170908724832,-0.196852373185659,-0.2514282997681706,-0.0852563639489381
2018-11-30,0.15633130102974674,-0.07096035516855104,-0.28710546156979233,-0.18037360712548633
2018-12-31,0.056162515283733394,-0.10471173846021853,-0.15215746383196305,-0.16901288533613767
2019-01-31,0.09181320748004262,-0.04196045649166469,-0.12173886893777941,-0.0863649760855083
2019-02-28,0.1417111312490894,-0.0626474134944035,-0.13804229744655871,-0.0876817016872653
2019-03-29,0.10436075885921103,-0.07455753598306858,-0.1484099517709303,-0.0965957168674283
2019-04-30,0.06379261434852945,-0.14715822417432511,-0.18587733567837195,-0.1381575648104636
2019-05-31,0.12293026532761353,-0.2862137410303693,-0.2952336049377047,-0.25009833521171865
2019-06-28,0.21874517943659139,-0.3708552614268664,-0.2602863902171608,-0.19887498846885576
2019-07-31,0.2290204612454219,-0.30693332443068616,-0.26048004076465014,-0.1729204947623183
2019-08-30,0.2100550069154603,-0.3780373343741454,-0.2413279207919583,-0.14934730235658766
2019-09-30,0.27873724442335573,-0.1176632354599213,-0.2808359054375033,-0.08541120080847919
2019-10-31,0.23135080437974714,-0.14249974477654737,-0.2858942430425354,-0.14332935501100275
2019-11-29,0.1765869411541806,-0.1401963587817866,-0.33049313608806463,-0.27008409763471686
2019-12-31,0.11461340624072325,-0.07080078026822145,-0.3738521558122638,-0.2478943137017952
2020-01-31,0.09815031903654348,-0.06630491363461477,-0.3636894897499756,-0.2470253488580189
2020-02-28,0.08521593433238905,-0.1515554631977487,-0.3035670576035907,-0.2655525240037785
2020-03-31,0.011305622047011576,-0.317108113185812,-0.3700472127244876,-0.46671361191687577
2020-04-30,-0.01434726304039513,-0.20924924157494584,-0.2511883870143945,-0.444614043228335
2020-05-29,0.07813007324931176,-0.06995584185727632,0.00894010101059739,-0.2612935712706723
2020-06-30,0.02173906970432915,-0.09620955907083206,-0.0873344543913619,-0.36165544622107104
2020-07-31,0.004062851482939722,-0.06382210380166997,-0.06919364016386842,-0.34801249932843403
2020-08-31,0.03206626217971564,-0.03835159738394611,-0.03831469613807381,-0.2957915601494411
