,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High customers,0.89,-10.33%,-23.05%,0.23,0.090
High suppliers,0.62,-10.57%,-28.63%,-0.14,0.240
High employees,0.75,-10.76%,-29.38%,0.05,0.740
High communities,0.78,-9.81%,-26.28%,0.09,0.480
Low communities,0.84,-10.69%,-25.25%,0.18,0.180
