,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High customers,-8.62%,-0.02%,20.50%,20.50%,29.72%,91.09%,211.96%,211.96%
High suppliers,-5.54%,0.13%,17.20%,17.20%,25.87%,63.85%,129.18%,129.18%
High employees,-7.29%,0.03%,18.79%,18.79%,31.39%,103.81%,204.43%,204.43%
Low communities,-7.25%,-1.35%,17.86%,17.86%,32.72%,108.63%,220.68%,220.68%
