year,sample,region,n_firms,total_cap_usd_tn,n <$50m,n $50-100m,n $100-250m,n $250-500m,n $500m-1bn,n $1-2bn,n $2-5bn,n $5-10bn,n $10-50bn,n >$50bn,cap% <$50m,cap% $50-100m,cap% $100-250m,cap% $250-500m,cap% $500m-1bn,cap% $1-2bn,cap% $2-5bn,cap% $5-10bn,cap% $10-50bn,cap% >$50bn
2016,compustat,United_States,3119,24.479102920475523,225,195,327,317,379,410,532,291,344,99,0.0227732933547865,0.05976627441066291,0.21797607230029764,0.47469281683482023,1.1337607511750625,2.400054017944736,6.997885801844259,8.461411275400463,30.787512235859328,49.44416746087557
2016,compustat,Europe,5104,11.310409351156533,1919,538,653,469,415,346,347,185,192,40,0.2860929827188598,0.3353718890141439,0.947640978209786,1.4922185508050232,2.569959281600996,4.41313902384284,9.513941406114526,11.435393993993229,37.28422473347142,31.72201716022918
2016,compustat,Japan,3516,5.132508189737266,824,568,695,426,328,249,223,94,98,11,0.46122391834583987,0.7917588192586,2.176875475650482,2.9002342984609095,4.590519409396381,6.874564581392711,14.42997045637126,12.619200840736406,37.996409556386695,17.159242644000727
2016,lc_gvkey,United_States,1089,16.9505095994881,17,23,49,69,118,159,233,140,202,79,0.003144834814382798,0.010443851552719466,0.050550542953934366,0.1503762251830457,0.5239546258401702,1.3837786122789109,4.494310044242011,6.00601879220637,26.414948986874226,60.962473484054236
2016,lc_gvkey,Europe,1626,7.4779672257519225,226,130,218,198,210,172,204,116,118,34,0.06514137621590586,0.12585438470751603,0.4875358831634485,0.9597159414062372,1.9641672162807138,3.224435395902877,8.64047532820567,10.75261955186491,35.749952137051416,38.030102785201294
2016,lc_gvkey,Japan,961,2.9868912889000336,69,74,141,135,155,138,123,55,67,4,0.07180053878299933,0.1807824674791059,0.8019815463682921,1.6435637248232928,3.7536553630022436,6.844528827714994,14.254911010659386,13.01977120556389,46.79393661616938,12.635068699436408
2024,compustat,United_States,2628,51.15624305921323,192,122,272,240,265,300,395,271,385,186,0.009117978226076826,0.017992683142399553,0.09198992474906688,0.17176898971703225,0.37298080089490937,0.8450369148270452,2.5378285344024767,3.7877884152421593,17.43204470941684,74.733451049382
2024,compustat,Europe,5120,15.721757849946584,1971,535,641,432,400,326,350,180,224,61,0.20776888483977465,0.24512440293765253,0.6747590826209753,0.9843005155760758,1.835607496519917,2.982963823064737,7.168954334514261,8.224251546961252,32.56225887532275,45.11401103764259
2024,compustat,Japan,3905,6.4527655401733,1207,577,683,409,348,251,231,83,92,24,0.48232109091646325,0.6322952557542602,1.7397081736739635,2.247086472724842,3.7554625651802755,5.511790790607346,11.349534637419088,9.486037402447286,30.342834401470395,34.4529292098061
2024,lc_gvkey,United_States,1065,40.4860636769795,16,12,44,57,87,123,208,162,219,137,0.0012424111010476161,0.002365815599269095,0.018636609180383817,0.052018427681757816,0.162253725711921,0.43616912017902176,1.7093130284075813,2.884637397816617,12.743459989575642,81.98990347474675
2024,lc_gvkey,Europe,1764,10.564850977733716,271,168,229,198,213,206,184,103,147,45,0.05408001805737925,0.11500174884721016,0.3695475349239537,0.6720313111565936,1.4607572295287303,2.78898707401999,5.711620844820894,7.01759245843233,32.31894607474999,49.491435705462926
2024,lc_gvkey,Japan,980,4.041447967397288,115,67,114,130,151,143,131,52,61,16,0.07932279562117892,0.12147158092758462,0.4813364682573982,1.1831165781058648,2.5935639230896914,5.033117331461599,10.182547537275305,9.678484232368115,33.558540255315165,37.08849929757809
