region,sample,year,n_listing_months,n_firms,mean,total,p1,p5,p10,p25,p50,p75,p90,p95,p99
United_States,"Compustat x LC (gvkey,fiscal-year)",2024,9256,983,42257682070.09061,391137105240758.7,56414280.0,287952675.0,615766920.0,1871026255.0,6163092450.0,23130932340.0,79447471800.0,153372420315.0,472336942633.5006
Europe,Compustat only,2016,60768,5478,2212291034.978884,134436501613596.84,393881.61538235995,2390114.2349478,5507480.959523775,20953630.2906875,113257640.90224919,727285519.8864844,3683980916.307018,9186191458.427032,43387662967.75033
Europe,Compustat only,2017,60232,5559,2625688066.3065157,158150443609774.06,568693.3865077741,3073273.8355374746,7147373.658576801,27411827.610150002,150123632.42362577,913590281.7495,4484663645.573111,11013593230.426912,51038067061.54444
Europe,Compustat only,2018,61194,5539,2673204293.4114504,163584063531020.28,759027.3568811506,3680145.5042343754,8120946.500272501,29796449.83579129,153393997.44,914853961.0776381,4567708679.40825,11237533131.599375,51436469172.031044
Europe,Compustat only,2019,60784,5464,2576998261.2444115,156640262311480.3,586654.4745997665,3101291.03834127,6915193.36204,25762872.766000003,135974057.65996003,822189663.967875,4275052065.0000067,10641690991.287382,48994733900.096886
Europe,Compustat only,2020,59990,5435,2563000783.688197,153754417013454.94,778272.2390530593,3572256.714331968,7113445.874837401,26418115.021710236,133006542.91319999,810954248.9826376,4316178244.590443,10745731892.37034,46927147488.314674
Europe,Compustat only,2021,62772,5797,3226325997.751857,202522935530879.56,1571089.2484796161,5914864.545537563,11124387.06094727,38562914.775000006,187521926.955881,1066698543.6114535,5419260072.007225,13523424964.232609,60042164920.23406
Europe,Compustat only,2022,64555,5786,2690342659.5234365,173675070385535.44,1100935.8000475226,4266467.809052921,8148419.3501231605,27873762.720194995,138064514.64925,798306645.1589425,3987934904.0464125,10584300797.746704,51059743079.395134
Europe,Compustat only,2023,64262,5750,2870867430.0913796,184487682792532.25,677520.7478308161,3216414.387503911,6523210.35713202,23080680.61923,118254053.95678136,739872894.3252445,4056446294.1027613,10739311806.239977,55392957715.42998
Europe,Compustat only,2024,62316,5584,3185206885.655867,198489352286531.0,491409.75872067834,2674276.62816825,5864582.45258875,21229620.616208814,116303994.45136407,810737064.1079528,4571040121.455009,11876463824.326939,62814776173.46644
Europe,Compustat n LC (gvkey),2016,19156,1641,4606921783.769666,88250193689891.72,3522752.506812,12379872.66421163,31469176.97709576,127468025.2248942,549320635.7099019,2496879036.6282864,9439194961.15003,22907136531.238903,77748716041.54677
Europe,Compustat n LC (gvkey),2017,19800,1717,5253813677.244206,104025510809435.28,4788094.101495554,17775280.59419985,41588347.58261184,160085824.19172,680880273.9834912,3021574602.2343216,10668876469.739023,25766827214.66802,87757181636.32889
Europe,Compustat n LC (gvkey),2018,20593,1754,5269692119.8682575,108518769824447.03,5446634.242158013,17845035.91206354,40516756.539303206,153877620.91878003,642382279.6849389,2949912000.0000005,10853043607.621115,25262112414.200756,88891419714.23613
Europe,Compustat n LC (gvkey),2019,20874,1785,5014136337.387451,104665081906625.66,4502207.724083199,15379898.37649785,35786738.43166398,126640514.56754401,551034153.0671933,2661989656.1898317,10320338771.78564,24646634903.917362,80271985839.60303
Europe,Compustat n LC (gvkey),2020,21248,1815,4850395698.163164,103061207794570.9,4655768.732414877,16131202.766541304,32654428.8,115007513.46284,507670039.39082074,2467214667.27122,10158943597.032476,23592206649.65661,77533222558.0735
