region,coverage,year,floor,n_kept,n_pre,pct_dropped
United_States,0.99,2016,545494036.6666666,1938.8333333333333,3165.1666666666665,38.74466852719709
United_States,0.99,2017,657132570.8333334,1923.0,3084.5,37.65602204571243
United_States,0.99,2018,720596632.5,1882.8333333333333,3013.9166666666665,37.52868637155417
United_States,0.99,2019,747484904.1666666,1762.4166666666667,2904.5,39.321168302060016
United_States,0.99,2020,762777094.0833334,1614.5833333333333,2829.9166666666665,42.94590535645926
United_States,0.99,2021,967424069.1666666,1712.1666666666667,2903.5833333333335,41.03263209252934
United_States,0.99,2022,915249166.6666666,1673.8333333333333,2933.1666666666665,42.93425762827433
United_States,0.99,2023,1037720666.6666666,1535.9166666666667,2777.25,44.69649233354337
United_States,0.99,2024,1346788370.0,1427.25,2657.25,46.288456110640695
United_States,0.975,2016,1165364162.73175,1517.0,3165.1666666666665,52.072034121425936
United_States,0.975,2017,1341272700.0,1513.0833333333333,3084.5,50.94558815583293
United_States,0.975,2018,1469057525.0,1483.75,3013.9166666666665,50.7700389858158
United_States,0.975,2019,1597113190.0,1374.0833333333333,2904.5,52.69122625810524
United_States,0.975,2020,1711652025.0,1238.25,2829.9166666666665,56.24429459053564
United_States,0.975,2021,2144135499.1666667,1312.9166666666667,2903.5833333333335,54.78288321901099
United_States,0.975,2022,2046137210.8333333,1265.1666666666667,2933.1666666666665,56.86686743564975
United_States,0.975,2023,2323462520.0,1158.5,2777.25,58.28607435412728
United_States,0.975,2024,2979719778.3333335,1073.75,2657.25,59.59168313105654
United_States,0.95,2016,2142670183.3333333,1157.8333333333333,3165.1666666666665,63.41951450687168
United_States,0.95,2017,2478936469.5833335,1154.3333333333333,3084.5,62.57632247257794
United_States,0.95,2018,2648191313.3333335,1130.9166666666667,3013.9166666666665,62.47684353139602
United_States,0.95,2019,2867620003.3333335,1040.0,2904.5,64.19349285591323
United_States,0.95,2020,3201243796.6666665,920.1666666666666,2829.9166666666665,67.48431932624635
United_States,0.95,2021,3998980240.0,980.0,2903.5833333333335,66.24860086674511
United_States,0.95,2022,3927438385.0,932.75,2933.1666666666665,68.19989772146144
United_States,0.95,2023,4401636021.666667,852.6666666666666,2777.25,69.29816665166382
United_States,0.95,2024,5720431356.666667,781.6666666666666,2657.25,70.58362342020258
United_States,0.925,2016,3083912030.0,935.8333333333334,3165.1666666666665,70.43336317202885
United_States,0.925,2017,3655945580.0,935.5833333333334,3084.5,69.6682336413249
United_States,0.925,2018,3883061950.8333335,910.9166666666666,3013.9166666666665,69.77631542566428
United_States,0.925,2019,4370272695.0,834.9166666666666,2904.5,71.25437539450279
United_States,0.925,2020,4817465145.0,728.25,2829.9166666666665,74.26602667923083
United_States,0.925,2021,6104611325.833333,775.9166666666666,2903.5833333333335,73.27727233590679
United_States,0.925,2022,5913770826.666667,734.0,2933.1666666666665,74.97585090061935
United_States,0.925,2023,6664392689.166667,669.0,2777.25,75.91142317040239
United_States,0.925,2024,8788604313.333334,610.6666666666666,2657.25,77.01884780631605
United_States,0.9,2016,4206256386.6666665,775.6666666666666,3165.1666666666665,75.49365488915802
United_States,0.9,2017,4876767895.833333,777.75,3084.5,74.78521640460367
United_States,0.9,2018,5219941172.5,754.8333333333334,3013.9166666666665,74.9550695385296
United_States,0.9,2019,5913433430.833333,691.5833333333334,2904.5,76.18924657141217
United_States,0.9,2020,6809893763.333333,596.8333333333334,2829.9166666666665,78.90986189228187
United_States,0.9,2021,8501638400.833333,636.4166666666666,2903.5833333333335,78.08168068191603
United_States,0.9,2022,8404952652.5,598.0833333333334,2933.1666666666665,79.60963691118813
United_States,0.9,2023,9642558340.833334,545.0,2777.25,80.3762714915834
United_States,0.9,2024,12816638386.666666,496.3333333333333,2657.25,81.32154169410731
United_States,0.875,2016,5454193427.5,655.5833333333334,3165.1666666666665,79.28755726396714
United_States,0.875,2017,6222181663.333333,657.1666666666666,3084.5,78.6945480088615
United_States,0.875,2018,6648544325.833333,635.25,3013.9166666666665,78.92277490530041
United_States,0.875,2019,7673445110.0,583.5,2904.5,79.91048373213978
United_States,0.875,2020,9226432448.333334,501.5833333333333,2829.9166666666665,82.27568538531759
United_States,0.875,2021,11282290061.666666,533.4166666666666,2903.5833333333335,81.62902161122751
United_States,0.875,2022,11393919068.333334,500.25,2933.1666666666665,82.94505369623273
United_States,0.875,2023,13039025050.0,456.4166666666667,2777.25,83.56587751672816
United_States,0.875,2024,17151283385.833334,413.8333333333333,2657.25,84.42625521372346
United_States,0.85,2016,6888809295.833333,562.25,3165.1666666666665,82.23632246853772
United_States,0.85,2017,7925874741.666667,562.75,3084.5,81.75555195331496
United_States,0.85,2018,8692427234.166666,542.0,3013.9166666666665,82.01675560593912
United_States,0.85,2019,9683851244.166666,498.5833333333333,2904.5,82.83410799334366
United_States,0.85,2020,11523686566.666666,428.9166666666667,2829.9166666666665,84.8434877352101
United_States,0.85,2021,14542314429.166666,454.5,2903.5833333333335,84.34692764687311
United_States,0.85,2022,14979908850.833334,427.25,2933.1666666666665,85.43383146769703
United_States,0.85,2023,16803963650.833334,389.4166666666667,2777.25,85.97833588381792
United_States,0.85,2024,21887585235.833332,350.9166666666667,2657.25,86.79399128171355
United_States,0.8,2016,10096468263.333334,424.5,3165.1666666666665,86.58838397135486
United_States,0.8,2017,11489705263.333334,424.75,3084.5,86.22953477062734
United_States,0.8,2018,12891441730.833334,409.5,3013.9166666666665,86.41302845135068
United_States,0.8,2019,14422971445.0,376.5833333333333,2904.5,87.03448671601538
United_States,0.8,2020,17138892235.833334,321.25,2829.9166666666665,88.6480756206013
United_States,0.8,2021,21417771702.5,342.25,2903.5833333333335,88.2128404557587
United_States,0.8,2022,22471215593.333332,323.0,2933.1666666666665,88.98801068242513
United_States,0.8,2023,25846311358.333332,293.4166666666667,2777.25,89.43499264860324
United_States,0.8,2024,34327116412.5,262.0833333333333,2657.25,90.13704644525983
United_States,0.75,2016,13991213745.833334,327.5,3165.1666666666665,89.65299352324784
United_States,0.75,2017,16020397055.833334,326.75,3084.5,89.40671097422597
United_States,0.75,2018,17596491792.5,315.75,3013.9166666666665,89.52359886084
United_States,0.75,2019,20187882292.5,290.9166666666667,2904.5,89.98393297756355
United_States,0.75,2020,23935301719.166668,247.5,2829.9166666666665,91.25415942754498
United_States,0.75,2021,29707255031.666668,262.3333333333333,2903.5833333333335,90.9651866946015
United_States,0.75,2022,31273163767.5,250.25,2933.1666666666665,91.46826524234332
United_States,0.75,2023,35211152370.833336,228.41666666666666,2777.25,91.7754373330933
United_States,0.75,2024,45831073201.666664,201.0,2657.25,92.43578887948067
United_States,0.7,2016,19144630230.0,257.3333333333333,3165.1666666666665,91.86983307882682
United_States,0.7,2017,21911719314.166668,256.5,3084.5,91.6842275895607
United_States,0.7,2018,23297888265.833332,246.41666666666666,3013.9166666666665,91.82403848812454
United_States,0.7,2019,26799400141.666668,228.75,2904.5,92.12428989499053
United_States,0.7,2020,30357886106.666668,191.66666666666666,2829.9166666666665,93.22712682941194
United_States,0.7,2021,38565467160.0,202.91666666666666,2903.5833333333335,93.01150876790173
United_States,0.7,2022,39832954149.166664,195.83333333333334,2933.1666666666665,93.32348428888004
United_States,0.7,2023,44049614311.666664,178.25,2777.25,93.58178053830227
United_States,0.7,2024,60156369913.333336,154.16666666666666,2657.25,94.19826261485872
United_States,0.65,2016,24384559001.666668,204.08333333333334,3165.1666666666665,93.55220894107735
United_States,0.65,2017,27829671763.333332,202.58333333333334,3084.5,93.432214837629
United_States,0.65,2018,31668948300.0,193.41666666666666,3013.9166666666665,93.58254762628916
United_States,0.65,2019,34833957395.0,180.75,2904.5,93.77689791702531
United_States,0.65,2020,40108093721.666664,148.66666666666666,2829.9166666666665,94.74660620159604
United_States,0.65,2021,48791233225.833336,156.33333333333334,2903.5833333333335,94.61584823350458
United_States,0.65,2022,50727792663.333336,152.91666666666666,2933.1666666666665,94.7866356042957
United_States,0.65,2023,56130964280.0,137.91666666666666,2777.25,95.03405647072944
United_States,0.65,2024,75905401495.0,118.41666666666667,2657.25,95.54363847335905
United_States,0.6,2016,29904386858.333332,161.75,3165.1666666666665,94.88968458743615
United_States,0.6,2017,35460953786.666664,160.83333333333334,3084.5,94.7857567406927
United_States,0.6,2018,38980182710.833336,153.5,3013.9166666666665,94.90695938286284
United_States,0.6,2019,43065505695.0,142.91666666666666,2904.5,95.07947437883743
United_States,0.6,2020,52489963801.666664,116.33333333333333,2829.9166666666665,95.8891604581996
United_States,0.6,2021,66304461913.333336,120.75,2903.5833333333335,95.84134546393824
United_States,0.6,2022,64352954122.5,119.33333333333333,2933.1666666666665,95.93158702198988
United_States,0.6,2023,71134987122.5,106.66666666666667,2777.25,96.15927026134966
United_States,0.6,2024,96480958228.33333,89.66666666666667,2657.25,96.62558409383134
Europe,0.99,2016,158801336.956023,2289.0833333333335,5064.0,54.79693259610321
Europe,0.99,2017,188110061.2320589,2347.0,5019.333333333333,53.24080223137202
Europe,0.99,2018,184602783.1436193,2403.0833333333335,5099.5,52.87609896395071
Europe,0.99,2019,182676042.14267838,2314.5833333333335,5065.333333333333,54.30540931824164
Europe,0.99,2020,176835245.11219543,2290.0,4999.166666666667,54.192365394232375
Europe,0.99,2021,215578356.48002294,2504.25,5231.0,52.12674440833492
Europe,0.99,2022,176470669.89305785,2470.3333333333335,5379.583333333333,54.07946712105955
Europe,0.99,2023,193440664.6753987,2274.0,5355.166666666667,57.53633562603093
Europe,0.99,2024,226307858.81310776,2106.4166666666665,5193.0,59.43738365748765
Europe,0.975,2016,400738106.6307314,1639.5833333333333,5064.0,67.62276197998946
Europe,0.975,2017,462492325.6580312,1695.5,5019.333333333333,66.22061362730773
Europe,0.975,2018,460977310.82925576,1726.0833333333333,5099.5,66.15191031800504
Europe,0.975,2019,457680183.82906765,1659.25,5065.333333333333,67.24302448012635
Europe,0.975,2020,449576681.5037573,1631.5833333333333,4999.166666666667,67.36289381563594
Europe,0.975,2021,539925810.5066881,1784.5,5231.0,65.88606385012426
Europe,0.975,2022,455993747.265956,1720.0833333333333,5379.583333333333,68.02571450700952
Europe,0.975,2023,517811011.8472962,1560.1666666666667,5355.166666666667,70.86614173228347
Europe,0.975,2024,621381186.9053172,1460.5833333333333,5193.0,71.87399704730728
Europe,0.95,2016,867541528.9169788,1168.4166666666667,5064.0,76.92700105318589
Europe,0.95,2017,979251172.1668226,1214.25,5019.333333333333,75.80854031079825
Europe,0.95,2018,987656813.4819027,1231.9166666666667,5099.5,75.8424028499526
Europe,0.95,2019,967902762.989449,1173.8333333333333,5065.333333333333,76.82613845748881
Europe,0.95,2020,969536399.9718233,1149.75,4999.166666666667,77.00116686114352
Europe,0.95,2021,1170961426.3636281,1258.5833333333333,5231.0,75.93990951379597
Europe,0.95,2022,1028631644.9142016,1196.9166666666667,5379.583333333333,77.75075517001007
Europe,0.95,2023,1172807751.7600625,1073.5833333333333,5355.166666666667,79.95238243440915
Europe,0.95,2024,1374209144.1512623,1016.0833333333334,5193.0,80.4335965081199
Europe,0.925,2016,1435880955.7796957,920.1666666666666,5064.0,81.82925223802002
Europe,0.925,2017,1634455067.610347,957.6666666666666,5019.333333333333,80.92044096161509
Europe,0.925,2018,1641306783.4025896,969.1666666666666,5099.5,80.99486877798478
Europe,0.925,2019,1646828407.8742478,916.6666666666666,5065.333333333333,81.90313240326401
Europe,0.925,2020,1633146007.2917683,894.9166666666666,4999.166666666667,82.09868311385232
Europe,0.925,2021,1934213447.767287,979.8333333333334,5231.0,81.2687185369273
Europe,0.925,2022,1685953116.1922054,922.4166666666666,5379.583333333333,82.85338083804507
Europe,0.925,2023,2025687420.6806428,825.4166666666666,5355.166666666667,84.58653636674862
Europe,0.925,2024,2287283613.0347075,785.25,5193.0,84.8786828422877
Europe,0.9,2016,1996794263.5898008,754.4166666666666,5064.0,85.10235650342285
Europe,0.9,2017,2288952951.908818,785.75,5019.333333333333,84.3455306149555
Europe,0.9,2018,2326720454.2440734,793.8333333333334,5099.5,84.43311435761676
