,Low Advocacy,High Advocacy,Low Upskilling,High Upskilling,Low Measurement,High Measurement,Low Adaptation-change,High Adaptation-change,Low Innovation,High Innovation
alpha,0.2,0.1,0.05,0.09,0.1,0.11,0.14,0.16,0.19,0.09
beta_mkt,1.02,1.03,0.99,1.09,1.04,0.99,1.04,1.04,1.04,0.99
beta_smb,0.18,0.2,0.11,0.22,0.2,0.08,0.18,0.17,0.17,0.1
beta_hml,0.3,0.36,0.29,0.34,0.33,0.26,0.34,0.26,0.27,0.31
p-value(alpha),0.05,0.25,0.67,0.43,0.27,0.28,0.12,0.11,0.12,0.42
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.0,0.0,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.04
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.96,0.97,0.96,0.97,0.97,0.95,0.97,0.96,0.95,0.95
