,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High Innovation,0.79,-10.23%,-26.36%,0.09,0.420
High Adaptation-change,0.83,-11.17%,-26.50%,0.16,0.110
High Measurement,0.83,-9.88%,-23.96%,0.11,0.280
High Upskilling,0.74,-10.38%,-30.99%,0.09,0.430
High Advocacy,0.75,-10.49%,-30.05%,0.10,0.250
Low Advocacy,0.84,-10.38%,-27.33%,0.20,0.050
