,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High Innovation,-7.62%,-1.87%,15.96%,15.96%,27.70%,81.16%,178.38%,178.38%
High Adaptation-change,-6.95%,-1.56%,16.62%,16.62%,27.89%,93.55%,210.45%,210.45%
High Measurement,-7.40%,-1.12%,18.54%,18.54%,29.67%,87.22%,193.59%,193.59%
High Upskilling,-7.16%,-1.99%,16.24%,16.24%,27.10%,83.00%,183.75%,183.75%
High Advocacy,-6.94%,1.01%,17.13%,17.13%,26.29%,78.22%,175.44%,175.44%
Low Advocacy,-6.95%,-1.50%,16.34%,16.34%,31.31%,97.08%,211.20%,211.20%
