,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,108.31%,108.31%
High customers,-8.51%,-0.77%,18.14%,18.14%,27.24%,91.00%,103.48%,103.48%
High suppliers,-5.09%,-0.05%,14.71%,14.71%,19.90%,57.72%,72.71%,72.71%
High employees,-7.60%,-1.62%,19.70%,19.70%,32.95%,99.42%,117.19%,117.19%
High communities,-6.92%,-2.55%,11.29%,11.29%,18.43%,68.57%,83.45%,83.45%
Low communities,-6.93%,0.51%,18.39%,18.39%,33.42%,104.92%,120.79%,120.79%
