,Low communities,High communities,Low employees,High employees,Low suppliers,High suppliers,Low customers,High customers
alpha,0.21,-0.05,-0.06,0.17,-0.0,-0.15,0.1,0.15
beta_mkt,1.02,1.0,0.97,1.06,0.98,0.98,1.0,0.93
beta_smb,0.18,0.2,0.1,0.21,0.19,0.11,0.23,0.15
beta_hml,0.3,0.29,0.28,0.32,0.26,0.38,0.21,0.3
p-value(alpha),0.23,0.79,0.68,0.28,0.98,0.26,0.44,0.42
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.01,0.0,0.09,0.0,0.0,0.03,0.0,0.04
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.95,0.95,0.95,0.96,0.93,0.96,0.96,0.93
