,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.83,-10.81%,-24.13%,,
High transformation,0.88,-11.56%,-21.87%,0.29,0.080
High preparation,0.70,-12.62%,-27.82%,0.00,0.980
High advocacy,0.65,-13.80%,-30.95%,0.01,0.920
Low advocacy,0.80,-12.02%,-23.97%,0.11,0.460
