date,Market,High transformation,High preparation,High advocacy,Low advocacy
2015-07-31,1.0,1.0,1.0,1.0,1.0
2015-08-31,0.9407,0.9429811643609051,0.9513117727109032,0.95963924400952,0.9390382654312488
2015-09-30,0.90918655,0.9057730764932702,0.9175243734443618,0.9301888733090128,0.8982568972859193
2015-10-30,0.977648297215,0.9806642270360921,0.9873993856704222,0.9973413257051207,0.9746025992495946
2015-11-30,0.9820477145524674,0.9861619925544902,0.982893000615786,1.0053836823195479,0.9763778050534918
2015-12-31,0.9580857503173872,0.9430411361163265,0.9502787846861501,0.9919990510848015,0.9387456835555713
2016-01-29,0.9032832453992327,0.8798369876115717,0.9104816354203734,0.9520553796061195,0.8932054585266243
2016-02-29,0.9058124384863504,0.9011906362398983,0.9318280668247335,0.9686650768349342,0.8981626447594641
2016-03-31,0.9694004716680923,0.9920297828169949,1.0242025773030705,1.0468129818419663,0.9889480160287913
2016-04-29,0.9803546969979419,1.0179335513935932,1.0482155683443088,1.0868823089160622,1.0060881450015697
2016-05-31,0.9940796627559131,1.0318453585613256,1.0599073646068402,1.100716070819387,1.0300441101443025
2016-06-30,0.9931849910594327,1.0236604239763036,1.0786300122071912,1.1265067023611826,1.0365355251072763
2016-07-29,1.0323164797071742,1.0870755945495552,1.1170151161177364,1.1552542001114303,1.083746988095999
2016-08-31,1.0369619038658564,1.0872126851732278,1.1207593493862715,1.1580394679463473,1.0865741403427038
2016-09-30,1.0406949667197736,1.0916066625232117,1.136652375264137,1.1595178786776912,1.0943629571374163
2016-10-31,1.0195688588953622,1.103925633503899,1.1058056141941464,1.1529696080811678,1.0855480449243446
2016-11-30,1.0659592419751012,1.1704282979996878,1.1411240301211631,1.2500212207735546,1.148436060604541
2016-12-30,1.085146508330653,1.1898761851667137,1.1517213015385024,1.2889426234718306,1.1704431145597816
2017-01-31,1.1086941875614282,1.2231228627264112,1.196448463915292,1.3384239243921532,1.202909629194835
2017-02-28,1.145059356913443,1.2480563090323957,1.228665119494853,1.3761360770771223,1.2314257527620969
2017-03-31,1.1478074993700353,1.274082898244617,1.2423173867491755,1.377412921968971,1.2374676415993942
2017-04-28,1.1580229861144284,1.2806003803460706,1.243196953016422,1.3697860295529465,1.2331147807338407
2017-05-31,1.1694874136769613,1.3048032554887112,1.274835698107479,1.4117407622617055,1.2457292656886336
2017-06-30,1.1817670315205693,1.3189018347547352,1.283596596686166,1.42466706838413,1.2802517235517927
2017-07-31,1.2058750789635888,1.3444320733456316,1.323797216155208,1.4820522348358078,1.3247082373448382
2017-08-31,1.207683891582034,1.3576373417136818,1.3346618477666936,1.4804238568684,1.3488389152419256
2017-09-29,1.238721367595692,1.3967885712050951,1.3714279492814203,1.5087278298756133,1.3830349769975465
2017-10-31,1.2643628999049228,1.425674238066953,1.3809450776167398,1.5342450385197361,1.4062896926822934
2017-11-30,1.3017880417421084,1.4811356580549389,1.4252988711723176,1.584461627985857,1.4562541030352072
2017-12-29,1.3183207498722331,1.5025914374192055,1.4564256270789153,1.5871110283498493,1.4884811364525057
2018-01-31,1.3887190779154106,1.5729907248115123,1.5059294213536087,1.6193326694264263,1.54460011126481
2018-02-28,1.335392265323459,1.497073284161241,1.4321368677909014,1.5677677388535236,1.4788455724001395
2018-03-29,1.3080167238843279,1.4845326957504525,1.4192685555218778,1.565001986098314,1.4620535679046627
2018-04-30,1.3144260058313613,1.4972336503274803,1.4210845054965875,1.578241285951198,1.467159412121378
2018-05-31,1.3492582949858922,1.5127517204653649,1.4140748749018563,1.6017649021430782,1.4760239541218638
2018-06-29,1.3564093639493175,1.5205526053374816,1.4139965969079373,1.6148732238798373,1.4863501283006921
2018-07-31,1.40076395015046,1.596631988510636,1.448442663174067,1.646687084450132,1.5367796477285292
2018-08-31,1.44628877853035,1.596007138656959,1.470256179800246,1.6662767914025605,1.5277824890921703
2018-09-28,1.4493259849652638,1.6062772545288528,1.4765871992532298,1.670371998917247,1.5451523495021702
2018-10-31,1.3388873449109107,1.4900152060392906,1.3487312233907138,1.534018148924778,1.4308969714111672
2018-11-30,1.362987317119307,1.5560241271838748,1.382678388154096,1.5638286871620724,1.4868921121953167
2018-12-31,1.2358206004320758,1.40218513224725,1.2703569109619737,1.418373471740384,1.358283243534863
2019-01-31,1.3445728132700985,1.5506862339287304,1.3902731866734186,1.5442569387222587,1.4993641224199503
2019-02-28,1.392574062703841,1.6132609161513634,1.44439047888518,1.5879767742778639,1.563846919138851
2019-03-29,1.4084494070186648,1.6068250719902029,1.4608770818818695,1.5906089429139627,1.5666820206827676
2019-04-30,1.4663366776471318,1.6621989891939122,1.500078105240147,1.67381664708021,1.6108662531087836
2019-05-31,1.3694118232546564,1.5533056851119518,1.3931760188209787,1.52761191491819,1.5147931988787453
2019-06-28,1.4675986509820154,1.6644189211783538,1.494564317739502,1.682919910066291,1.630407975230394
2019-07-31,1.4860903939843886,1.6914964944340933,1.5192227981016357,1.7151751350914348,1.6553722681890315
2019-08-30,1.4516130968439507,1.676421220531203,1.4720072104344482,1.6387293230858448,1.6122709863152547
2019-09-30,1.476290519490298,1.7292769618139754,1.5177213955764894,1.6889368430177731,1.6782253584335434
2019-10-31,1.505521071776206,1.7521024367596632,1.5145999934818364,1.6995118544228798,1.688828402057705
2019-11-29,1.5645374977898334,1.8081465281024633,1.5686411432128824,1.7621438471836826,1.7355027008770747
2019-12-31,1.6103784464750757,1.8620826807232589,1.6254233383835144,1.8215260471709693,1.7963351669502898
2020-01-31,1.606996651737478,1.8522555194423873,1.5748998351407857,1.742437231416869,1.7572947142064206
2020-02-28,1.4766692232815686,1.7127229609229744,1.4119975900931625,1.5546293012995238,1.5873939693183112
2020-03-31,1.2703785327891335,1.4549728859062827,1.150933020228551,1.2264958936467207,1.3416393211440072
2020-04-30,1.439719991209925,1.625566534608151,1.3227985780184872,1.3986042837231822,1.5048563926038945
2020-05-29,1.5183287027299868,1.7372508164480527,1.3973183594979017,1.4859820752108552,1.5678671729421878
2020-06-30,1.5553759230765984,1.7838994516463655,1.4044016973965576,1.4862875410146466,1.6010384537429425
2020-07-31,1.6443434258765797,1.867476842856395,1.4901037330109328,1.5731600998391742,1.677586054773171
2020-08-31,1.7668470111043848,1.952833094365977,1.560316885444394,1.6590038563309621,1.7638894815731039
2020-09-30,1.7023570951990747,1.9159402273959703,1.5394336099716246,1.6183024790165184,1.7270490156647869
2020-10-30,1.666607596199894,1.9386924347129932,1.5323170746314354,1.6011926226537994,1.7309500014865702
2020-11-30,1.8756001887633607,2.2292552015709917,1.7690748374503331,1.8470510485355818,1.9645408205046628
2020-12-31,1.9620653574653517,2.334517758614402,1.8406312446928286,1.9505231854030003,2.039720132217489
2021-01-29,1.9561791613929556,2.3110749274478675,1.8052816798102769,1.926546103713215,2.015987851152035
2021-02-26,2.018581276641391,2.4561174427436985,1.9307261882130604,2.0385691915671535,2.130043057073861
2021-03-31,2.0896353375791676,2.622913887881604,2.052666196648262,2.152279986418215,2.283681630405735
