,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.82,-9.30%,-24.13%,,
High transformation,0.88,-9.87%,-21.86%,0.28,0.010
High preparation,0.71,-10.31%,-29.19%,0.04,0.750
High advocacy,0.75,-10.59%,-32.67%,0.16,0.180
Low advocacy,0.83,-10.94%,-25.31%,0.18,0.070
