,Low advocacy,High advocacy,Low preparation,High preparation,Low transformation,High transformation
alpha,0.18,0.16,0.19,0.04,0.23,0.28
beta_mkt,1.01,1.05,1.02,1.04,1.03,1.01
beta_smb,0.09,0.2,0.16,0.12,0.19,0.13
beta_hml,0.28,0.33,0.28,0.27,0.28,0.23
p-value(alpha),0.07,0.18,0.13,0.75,0.03,0.01
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.05,0.0,0.0,0.02,0.0,0.01
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.95,0.95,0.93,0.94,0.95,0.94
