date,High esg_sp,Low esg_sp,High Innovation,High Adaptation-change,High Upskilling,High Advocacy,Low Advocacy
2018-06-29,0.13072475507343312,0.12417254274215606,0.03401611912279978,0.07552846923463089,0.5230073354489522,0.07925640533913775,0.03888215680381535
2018-07-31,0.10319746478538994,0.07500763913422148,0.052081844436348224,0.06509548939961834,0.4329454612418192,0.030150254005548882,-0.00772482672760616
2018-08-31,0.15400412067343017,0.11187333005324518,0.05762866992201393,0.16823438646403907,0.46372675394445806,-0.015132804744554196,0.05688759978830549
2018-09-28,0.0728600813607374,0.12784655965973613,0.06086309884574098,0.16285116599486477,0.45008952604760544,0.004770253170309158,0.07910502454107016
2018-10-31,-0.014327405516382563,-0.09724907116517145,0.006409051452115788,-0.10626991599418478,-0.011037900568516057,-0.06003548286822846,-0.11329370699446395
2018-11-30,0.11720443310602469,-0.08190282107755686,-0.035662065838417134,-0.008948526510985766,-0.10207761851481878,-0.09087644092514524,-0.06495540363214858
2018-12-31,0.1728946227588395,-0.22202142924307222,0.0668934385627249,0.013088266079342326,-0.2023019614238185,-0.1785306618414555,-0.07845635586899291
2019-01-31,0.2330926201095067,-0.22895031109872432,0.13301308891992192,0.057584157563785654,-0.16893143722331194,-0.1476094542337565,-0.11704803178830248
2019-02-28,0.24578602973118846,-0.20642573601560366,0.14069591274860893,0.06553542754194197,-0.18928787302353234,-0.16835312489597798,-0.1131301313399633
2019-03-29,0.22867225829563154,-0.21704967185000323,0.11535243910722803,0.04937978292848144,-0.19492114432832364,-0.17375449735197046,-0.12446007028309358
2019-04-30,0.08031904235927145,-0.19765329996249048,0.06338516309396414,0.0011218169915937493,-0.12015198353646461,-0.09525554325233221,-0.14877140946121536
2019-05-31,0.04008073202616236,-0.22742418624566885,0.07518099876663609,-0.032040614285868685,-0.29256035451497286,-0.14185265729702723,-0.2064572002253915
2019-06-28,0.08568832525901571,-0.1218865128261849,0.15016481966707107,-0.04377482313909842,-0.1762333237086865,0.004676776442491759,-0.1475712537431455
2019-07-31,-0.019852438121547022,-0.06556409726051493,0.1472011118183032,0.06627501070385122,-0.15803419060780444,0.06351989959975024,-0.07707289842298348
2019-08-30,-0.08105006524334413,-0.03446144784504168,0.14466433306897208,0.05800315457940364,-0.18979618447124802,0.04930885630194648,-0.11625488659483885
2019-09-30,0.02372727764900384,0.06487562224203658,0.1432052244806311,0.23374721529491027,-0.05194818641502674,0.05210322008990653,0.10562319524804498
2019-10-31,0.024381720562854592,0.05647048532947174,0.13917179397542534,0.23913251125444557,-0.12826645253959634,-0.0028029207656227184,0.09699885079862303
