,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.97%,6.93%,-18.87%,-18.87%,23.12%,50.39%,92.10%,92.10%
High esg_sp,-4.34%,14.47%,-6.27%,-6.27%,34.09%,56.49%,108.41%,108.41%
Low esg_sp,-4.67%,12.79%,-9.01%,-9.01%,32.77%,50.45%,98.04%,98.04%
High Innovation,-3.93%,12.46%,-7.95%,-7.95%,31.27%,57.34%,108.65%,108.65%
High Adaptation-change,-4.94%,12.85%,-6.41%,-6.41%,47.81%,74.95%,118.91%,118.91%
High Upskilling,-4.44%,14.39%,-4.00%,-4.00%,35.48%,47.06%,108.60%,108.60%
High Advocacy,-5.70%,11.28%,-8.83%,-8.83%,21.42%,34.84%,78.21%,78.21%
Low Advocacy,-4.49%,11.95%,-4.84%,-4.84%,41.20%,61.87%,108.20%,108.20%
