date,High esg_sp,Low esg_sp,High Innovation,High Adaptation-change,High Upskilling,High Advocacy,Low Advocacy
2019-10-31,-0.004810077642422472,0.050913133184556925,0.08706781059051838,0.009803841770692379,0.03252142120221735,-0.028467806992116707,-0.054274037818827114
2019-11-29,-0.007678866067560297,0.027998316564835535,0.03924518955201417,-0.016047020496183895,0.02538654453494127,-0.053096307265876,-0.07093739935634469
2019-12-31,0.0059732972017818575,0.04350173090635523,0.014925962104563983,0.01157442319879054,0.06543117515763097,-0.12714172629958675,-0.017906455025832102
2020-01-31,-0.00745389861543877,0.04238094012845994,0.010305443342420673,0.0023375973315525878,0.08304559318868354,-0.145911832692441,-0.019026871135960133
2020-02-28,0.004060062615012239,-0.011487190899051147,0.022346520343303422,-0.029487934413719774,0.0040387571964007885,-0.11368938657246608,-0.008044083709330074
2020-03-31,0.11015652510107299,-0.02746729320610486,-0.025213728469335117,0.020025268156287468,-0.005218304785552408,-0.12607663594861385,0.01789938416900483
2020-04-30,0.1489186203873044,-0.01811455192068978,0.007628879540991229,0.0395173551175354,-0.029204979495966676,-0.09909333823074129,0.059407989959915586
2020-05-29,0.14845916462007136,-0.05751084718360644,0.004336447113328923,0.04694218721296872,-0.04369619335712105,-0.09522200524772473,0.036273916601764156
2020-06-30,0.10194130816251912,-0.08912784633768434,-0.024787975691505038,0.05594878481683074,-0.07207910090517933,-0.13215292152405733,0.01915222309029574
2020-07-31,0.08039689530427108,-0.1064788489395464,-0.040174634808537446,0.050380608991823395,-0.0878160883788649,-0.15153536739139162,0.012261028747970526
2020-08-31,0.05765769225318784,-0.09148633422773123,-0.037429104384978706,0.05499589697727103,-0.0788516420514942,-0.1495165978838221,0.005022917751356104
2020-09-30,0.0649845729487013,-0.02612461516747655,0.06466158887880014,0.11569292143236598,-0.06712044307938747,-0.05974303345212384,0.08322240948122628
2020-10-30,0.10487785944625039,0.022464858199136573,0.2683955240338761,0.23946899357904494,-0.10711360810744108,0.04933260370898851,0.1523899191128113
2020-11-30,0.019848232329995996,0.022733107179806922,0.23332318541865626,0.3270114887035658,-0.08884316968331629,-0.037656237155053174,0.1572629777797535
2020-12-31,-0.04560834132832081,-0.006867775356119599,0.18634519185122755,0.3153747117940917,-0.12829576330072046,-0.05718097623410012,0.1336376122727937
