date,Market,High esg_sp,Low esg_sp,High Innovation,High Adaptation-change,High Upskilling,High Advocacy,Low Advocacy
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.9963081612633662,1.006530127124692,1.0083348980491529,0.9923726476526056,1.0118178441836128,1.0156455114007477,1.0004334835010509
2016-09-30,1.00831782324,0.9989992574980702,1.0062183989306055,1.0051438576344387,0.9959751967352455,1.0084422335384537,1.0185286821660273,0.9987007656004848
2016-10-31,0.9878489714282281,0.9880728096408269,0.9832368121079984,0.9915165644351733,0.9842455004956819,1.0060855704035503,1.0040624679571957,0.9747357023580516
2016-11-30,1.0327960996282126,1.015786046324716,1.052925365835016,1.0573226529709074,1.0318564540313844,1.0872477499276663,1.0726020140355195,1.0358061231232898
2016-12-30,1.0513864294215205,1.029800895907511,1.0754980528366775,1.0767670614187932,1.0423247515191891,1.1228272157029762,1.0962285763192212,1.0521919758923934
2017-01-31,1.0742015149399675,1.052450466560899,1.119011294983457,1.1012670971419767,1.0623293151460984,1.1574314398503536,1.1204453926235707,1.0928389202003206
2017-02-28,1.1094353246299984,1.0930468067509516,1.1354473520493473,1.1474175473427692,1.0871027224190102,1.1931916932413695,1.1576600610235308,1.1283302793761028
2017-03-31,1.1120979694091104,1.0983965718565252,1.1474642672191393,1.1493671210344631,1.0949866434615385,1.1937918315511902,1.1521822404733073,1.1265497094918762
2017-04-28,1.1219956413368515,1.117757921614449,1.153435932612086,1.1591560837919703,1.1029871403747085,1.193793798444722,1.1511952423958396,1.1355288698927808
2017-05-31,1.1331033981860863,1.1448595801296946,1.1695515923870554,1.1637535321125347,1.107426711348582,1.221484910254531,1.1751043184451502,1.149544865116552
2017-06-30,1.14500098386704,1.1532149041758317,1.183280531124305,1.1731218149175933,1.1293908068851142,1.243684593752604,1.1805215780803655,1.1657814888516576
2017-07-31,1.1683590039379277,1.2027557385632741,1.1894559869309378,1.1978114827846442,1.139278921330814,1.259350028497658,1.2035267601309794,1.1788388283169582
2017-08-31,1.1701115424438344,1.2240750920597447,1.1868762534749853,1.2047707290623413,1.1414090823439174,1.2670216027451784,1.197304383243804,1.1843095091070956
2017-09-29,1.2001834090846408,1.258848111237488,1.2170328788738625,1.233997384321761,1.1700903623995902,1.312835172284196,1.2390812565646725,1.211681118056354
2017-10-31,1.2250272056526927,1.2780848001351015,1.249463998245828,1.2597132727002747,1.1935854571558449,1.3545954852633881,1.2562837007075423,1.2371747146123837
2017-11-30,1.2612880109400122,1.3159900499768427,1.2984055919928676,1.3216290492381375,1.2348492087599685,1.4074837781596217,1.2948795747148665,1.2818392377562562
2017-12-29,1.2773063686789503,1.3317577295362744,1.3162892322195745,1.3261189984171615,1.2512672272543217,1.4184355958251404,1.3216764596377344,1.2862274577477748
2018-01-31,1.3455145287664063,1.3950316753593537,1.3414545835319762,1.4009672388732952,1.3062442858610335,1.4558349352829663,1.363778542509776,1.3395411291499428
2018-02-28,1.2938467708617762,1.3317722339473477,1.2992190628196034,1.3315096553571264,1.2607572644659018,1.4014347769838105,1.2987668867655597,1.2921309390877804
2018-03-29,1.2673229120591096,1.31468763819362,1.2949233817023067,1.3122139232099572,1.250888340845044,1.3918756518145983,1.2834644600647294,1.2867029743396932
2018-04-30,1.2735327943281993,1.3099277372123816,1.2777611131545903,1.3139159948427614,1.2377895341455112,1.3804811679943108,1.269804947186343,1.2709310162546237
2018-05-31,1.3072814133778965,1.3070992023760937,1.314077333155273,1.3186805318799661,1.2624068711200764,1.4056927718424805,1.2726559330851592,1.2790349212961831
2018-06-29,1.3142100048687995,1.2958013288470571,1.3065861518822777,1.3214898320026567,1.2857230757497171,1.3976424367485873,1.2774272445189963,1.2990227467562505
2018-07-31,1.3571846720280092,1.33836044880316,1.3077723747242642,1.3946254381460812,1.311903284686163,1.4102213263677337,1.3098910153690513,1.3174024059000973
2018-08-31,1.4012931738689194,1.3627993776049878,1.3121385014942324,1.4122172199570449,1.325790179758593,1.4074396152694755,1.3323373418866247,1.3151502219520625
2018-09-28,1.404235889534044,1.3592128928403697,1.3008333848427975,1.416446544050942,1.3244873742333336,1.3955186382658407,1.3387331317756634,1.3145403208425162
2018-10-31,1.29723311475155,1.269962922148435,1.1889651445086797,1.3062857145999252,1.2162843299137245,1.2663390081335237,1.2440450990990457,1.2025798733737356
2018-11-30,1.320583310817078,1.3221964347249722,1.2378058467823825,1.3433673613088597,1.2617776993841288,1.288837660030508,1.284640848577828,1.2613079356387147
2018-12-31,1.1973728879178447,1.2061321089966028,1.1138216315586622,1.2142017927682458,1.1411235055000546,1.1702140287414209,1.1434864498753965,1.139326085456306
2019-01-31,1.302741702054615,1.3196600636143463,1.227269855781639,1.3425136507409847,1.2532834600577323,1.2927980317342886,1.253261365854837,1.2415877061911773
2019-02-28,1.349249580817965,1.368855595352607,1.2784581158289507,1.3938667370897513,1.2993991407501482,1.3338286097090544,1.2833280512535838,1.2861330579154917
2019-03-29,1.36463102603929,1.3845085753731583,1.2975611222596122,1.3924971565530577,1.3062977964308935,1.3290766897990973,1.2846011860678805,1.2763346235287298
2019-04-30,1.4207173612095048,1.4135915096224811,1.3445478773574708,1.4529942306894459,1.3449124465198101,1.3950912211777367,1.3624520876493276,1.3223721798640835
2019-05-31,1.3268079436335565,1.313936771599227,1.2506363769511126,1.3449764227950847,1.2470175460394315,1.2525609898324048,1.2512551906654126,1.2192961470851862
2019-06-28,1.4219400731920826,1.4115086675697288,1.3589076811638685,1.4614775414839452,1.343196000983941,1.3825958730393693,1.3632913300446876,1.3218936810001032
2019-07-31,1.4398565181143028,1.4256355743878266,1.3735917341080421,1.4735038753850496,1.3787908603131882,1.3917849231723864,1.392767368843165,1.3462392106050813
2019-08-30,1.406451846894051,1.3736818726956197,1.357429398433595,1.4454079853276571,1.339073725877447,1.3362534302967037,1.3371451984896046,1.2889880185555767
2019-09-30,1.43036152829125,1.4290794980952422,1.3838616263249401,1.485087686376618,1.3851124560825765,1.391645149675525,1.388714870584391,1.3430866319696446
2019-10-31,1.4586826865514169,1.4511832021683568,1.4158931393414167,1.5122587415471798,1.4164310562828861,1.4025326084223937,1.3912753668963695,1.3677796661586203
2019-11-29,1.5158630478642325,1.516826364822286,1.4419615049509225,1.5474108775385222,1.4489630802063131,1.461103796071439,1.4433234623571114,1.413285437776562
2019-12-31,1.5602778351666546,1.5542868623620059,1.4915960700357034,1.589504534201914,1.4810113527624191,1.539729499889063,1.4676680999912113,1.4745463013877702
2020-01-31,1.5570012517128047,1.5453193522057662,1.434940637461571,1.547918270386629,1.4507411558659005,1.4939342678855254,1.4331700279808177,1.4276573278892586
2020-02-28,1.4307284501988962,1.4215458194476822,1.3021339281634277,1.4016449268851086,1.3297066114625191,1.337573590444111,1.3022030989983382,1.2959604463557453
2020-03-31,1.2308556857061104,1.2188726455357586,1.045057152805901,1.1854601116386563,1.1320411539831607,1.0683335396844793,1.0547841356547154,1.0680338634158184
2020-04-30,1.394928748610735,1.3685171766443762,1.2016973717759967,1.3496772509452835,1.241086430008086,1.224567672326719,1.2032608529984203,1.2077775882912494
2020-05-29,1.471091858284881,1.4300045677791045,1.2820117984135007,1.4087142911018038,1.3176433498906162,1.3079376198696593,1.275353651901567,1.2937435001461481
2020-06-30,1.5069864996270321,1.4241704702534286,1.2860637204656014,1.417140806274919,1.3502396173791196,1.319683328969616,1.2742381281559965,1.3121023345388798
2020-07-31,1.5931861274056982,1.4930313580960866,1.3685826007442228,1.5009151944699963,1.440949598401602,1.3814499207461912,1.3170921161139093,1.3732289291149156
2020-08-31,1.7118784938974227,1.5823987555055534,1.3957956504203013,1.5598807033171478,1.5028537112874774,1.4524678806980507,1.3999197448632474,1.4477261811764914
2020-09-30,1.6493949288701668,1.5291720500062687,1.3747942802627289,1.5377763569739074,1.477425217580962,1.402044734443537,1.379824919382906,1.4278463374362935
2020-10-30,1.6147576353638933,1.5046713030085714,1.3775380999297222,1.5604005671948893,1.5030358430294255,1.3820548893204172,1.3785326476045172,1.4330303648392484
2020-11-30,1.8172482428385255,1.680973884074108,1.5686496272229338,1.7567994727884324,1.7246929030265645,1.6014256426499198,1.5445913499958983,1.6318362734648197
2020-12-31,1.9010233868333815,1.7217520902244525,1.6443396737391514,1.8067549718235794,1.8098165019452357,1.6852825084788374,1.6050379644356656,1.7163623817022249
2021-01-29,1.8953203166728814,1.688529567164381,1.6379357240934902,1.769451960846164,1.813801323664402,1.6367738142703752,1.5924717849058734,1.6772513621432552
2021-02-26,1.9557810347747464,1.8138479472694307,1.767044183753626,1.8723854368215107,1.925211375140231,1.7593685156027368,1.6766827555000277,1.7881003479046462
2021-03-31,2.0246245271988172,1.9561388906476056,1.882905618577654,2.018679967289133,2.0395770111619416,1.8487059254693736,1.803891152659954,1.8929052628452856
2021-04-30,2.1284877654441163,2.0481907765985246,1.9984006809445984,2.113282541258846,2.146142094291014,1.9430408066490277,1.8943420502354449,2.002906822073563
2021-05-28,2.1431743310256803,2.1064133373474068,2.030299404400028,2.15051043814543,2.188131783521788,1.991523337944776,1.9368197603376116,2.0308251272397437
2021-06-30,2.1926816580723734,2.0847486076796904,2.0088136872445137,2.120952518245322,2.1838843006230397,1.9868246569181314,1.8941809462359094,2.003270095061541
2021-07-30,2.2196516424666637,2.096242589988008,2.0311123853209923,2.1443908727279393,2.2048782654584684,2.0057507447287626,1.874894666253873,2.0285690984716203
2021-08-31,2.282023853619977,2.1397751358828305,2.115535349346007,2.1995137569198673,2.2970056224318083,2.072063118297383,1.8954188031735681,2.1124128116758842
2021-09-30,2.184353232685042,2.043897365993096,2.017854772307205,2.084930386478145,2.1954003180105652,2.009947021498456,1.810742347598008,2.0219637749174795
2021-10-29,2.330049593305134,2.1516568191860297,2.122857587056493,2.1671395643188784,2.2730918624138226,2.1395881680581126,1.908707826589749,2.116860805101224
2021-11-30,2.287642690706981,2.08301199451257,2.081353307611418,2.114344573641927,2.220207784429866,2.058678394611332,1.8409779998251528,2.0670419591388445
2021-12-31,2.3677101848817252,2.2234634028641396,2.176470473420685,2.2666127035874974,2.3390887389299704,2.17295034837247,1.9546864939209252,2.1879999224929585
2022-01-31,2.231803620269514,2.1855424980698297,2.0089129276988222,2.1731983722620343,2.2221897958465977,2.0706473121691356,1.894179035920379,2.0908209431933926
2022-02-28,2.182257579899531,2.146623927053953,2.0343214227257453,2.1469036111249435,2.1950275048151693,2.106540879841179,1.9042500611875555,2.1002411638718463
2022-03-31,2.2538356285202354,2.2288327568011708,2.1100524736339086,2.186270507839471,2.2956065010391087,2.1697141750527806,1.939790402334512,2.1838887128754463
2022-04-29,2.048961969887746,2.0849556490633145,1.9348169652984404,2.1035246051125407,2.121424902057786,2.0270583174251,1.8159589729546164,2.068421154200321
2022-05-31,2.047117904114847,2.117936421956385,1.9932578200664584,2.145052453437814,2.1788431589051793,2.070267327490506,1.8412136606378817,2.124533237627398
2022-06-30,1.8751600001692,1.8973092709082309,1.7998161771611831,1.9769410015892581,1.9487934622799672,1.8788626768900907,1.691048035609934,1.9215814614689455
2022-07-29,2.049924912184969,2.026933607835209,1.9936097854675197,2.103972813427437,2.1734015277420435,2.0546329819408298,1.8175893459138484,2.1040634272848764
2022-08-31,1.9765376003287474,1.9881085808339274,1.9112063861738042,2.042083286046405,2.121328572701135,1.9985579312551633,1.7625910992094114,2.0402597498392567
2022-09-30,1.7964750249387986,1.820614633852835,1.7557741151410262,1.855306286691041,1.939794472868139,1.8235059598854149,1.6014124355742103,1.8597276492564283
2022-10-31,1.9436063294812864,2.0451496889847443,1.9493686340597651,2.0427119556730986,2.1772349786753113,2.046026377396287,1.7648459316031486,2.061751665087062
2022-11-30,2.04292461291778,2.178765502806308,2.07728868224344,2.1718002498466094,2.3029938033631776,2.1829798665998963,1.8898117233672087,2.1798631518094447
2022-12-30,1.9209620135265884,2.0841134185742107,1.9803501667917294,2.086481295963752,2.189115005896339,2.085957416590478,1.7820990488354498,2.0820222590072497
