,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.67,-10.40%,-24.13%,,
High esg_sp,0.75,-11.30%,-21.58%,0.12,0.330
Low esg_sp,0.64,-12.25%,-29.94%,0.11,0.480
High Innovation,0.74,-10.95%,-25.42%,0.17,0.270
High Adaptation-change,0.77,-11.55%,-23.56%,0.24,0.080
High Upskilling,0.67,-12.69%,-30.62%,0.15,0.320
High Advocacy,0.58,-12.83%,-28.13%,-0.03,0.820
Low Advocacy,0.71,-11.49%,-27.57%,0.17,0.240
