date,Market,High transformation,High esg_refinitive,High preparation,Low advocacy
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.9986634399215751,1.0051506173110525,1.0073474221875183,1.0060270265174334
2016-09-30,1.00831782324,1.0038847937022788,1.003870598540755,1.0155233951128961,1.0087083386592848
2016-10-31,0.9878489714282281,1.0125512598349682,1.006257783549559,0.9850994876120164,0.9913275765545265
2016-11-30,1.0327960996282126,1.0689484726968026,1.0842850962433612,1.0197415818439846,1.0490122567200098
2016-12-30,1.0513864294215205,1.0860785216365603,1.1056267348682145,1.037001803424168,1.073665763703104
2017-01-31,1.0742015149399675,1.1178065305800173,1.13474785848448,1.0640020570808781,1.0929184860212355
2017-02-28,1.1094353246299984,1.1475334872818082,1.1685157926590946,1.1090906015170325,1.1366822830934031
2017-03-31,1.1120979694091104,1.177038860050382,1.1749607263886053,1.1167545459439339,1.1387198694028102
2017-04-28,1.1219956413368515,1.1940022124982237,1.180894692005356,1.1166536443992845,1.1460992925852158
2017-05-31,1.1331033981860863,1.2223634993647934,1.1976204880724874,1.1520683909536322,1.1589217834057297
2017-06-30,1.14500098386704,1.2384730254538847,1.2180952548562385,1.1620962964435009,1.18786354846273
2017-07-31,1.1683590039379277,1.260322471488052,1.269630002460977,1.1890917375615895,1.212044406546636
2017-08-31,1.1701115424438344,1.2723390645634074,1.2937618531379564,1.1915774080626473,1.2264120970446897
2017-09-29,1.2001834090846408,1.3093083648334631,1.3177843384706196,1.2232556249469422,1.2565456202982992
2017-10-31,1.2250272056526927,1.3478753882149268,1.3395062105232869,1.242086993987117,1.2855211256391361
2017-11-30,1.2612880109400122,1.4056845440689463,1.3734350651942868,1.2765806703135734,1.3273135432752625
2017-12-29,1.2773063686789503,1.4220174917990862,1.4215198059300271,1.293567073096145,1.3479410810374208
2018-01-31,1.3455145287664063,1.4970674937336332,1.4999453178487898,1.343091609504284,1.4127537726315176
2018-02-28,1.2938467708617762,1.4331482760012668,1.4287871664143865,1.279876829220393,1.353487806790315
2018-03-29,1.2673229120591096,1.420606102612524,1.405529986418914,1.261656088943748,1.3322474135945765
2018-04-30,1.2735327943281993,1.4316174594289772,1.4025004436773771,1.2622414321768236,1.3327107500941209
2018-05-31,1.3072814133778965,1.4476568182278298,1.3875444806145458,1.247877588980323,1.330380499291964
2018-06-29,1.3142100048687995,1.4563110909208696,1.389102235790658,1.2473549263728898,1.3381085189094266
2018-07-31,1.3571846720280092,1.53397451409773,1.432639444631104,1.287341376947264,1.3923636606496956
2018-08-31,1.4012931738689194,1.539571694512534,1.452768137502849,1.315110742608256,1.4072379305229628
2018-09-28,1.404235889534044,1.5534383170996038,1.4714190491350725,1.3158862027122538,1.4180167054823896
2018-10-31,1.29723311475155,1.43901426332127,1.3525643426702834,1.197155703777324,1.3032207680282415
2018-11-30,1.320583310817078,1.5085394474222813,1.380444926559668,1.2398016072738804,1.3539751191717648
2018-12-31,1.1973728879178447,1.3591124958264291,1.2534928501586875,1.131039601595456,1.2285664500426117
2019-01-31,1.302741702054615,1.4998726450651778,1.3599077654566376,1.2380899477786924,1.354139401224428
2019-02-28,1.349249580817965,1.5703148422825342,1.4262321141331635,1.2915179465535154,1.4253794716678962
2019-03-29,1.36463102603929,1.5685693348498309,1.4420814304138996,1.2981934150266048,1.4236426413267067
2019-04-30,1.4207173612095048,1.6306856184413803,1.4729747504992705,1.3343009886150883,1.4680251571562524
2019-05-31,1.3268079436335565,1.5318968759705849,1.3524815103614034,1.2293401769123622,1.3839959467719176
2019-06-28,1.4219400731920826,1.6488551829423328,1.4662855651664044,1.3191570073072412,1.4817662518526753
2019-07-31,1.4398565181143028,1.6811041204193953,1.4830463615625145,1.3484820130322563,1.5188555247602307
2019-08-30,1.406451846894051,1.6587104365034868,1.4391048955536463,1.312849517496635,1.4700145565048341
2019-09-30,1.43036152829125,1.7136113575848153,1.488940106277185,1.3601210578679592,1.538018202057434
2019-10-31,1.4586826865514169,1.7371150453697755,1.481421234924327,1.3602521420177776,1.5544111795295834
2019-11-29,1.5158630478642325,1.7795701543310067,1.5577173680473713,1.3995348502011578,1.5962884111623323
2019-12-31,1.5602778351666546,1.8287394237147676,1.6073421161559993,1.4521095942486084,1.6536966484449915
2020-01-31,1.5570012517128047,1.8219548212741046,1.5862976343648572,1.399232681740622,1.6148752172146026
2020-02-28,1.4307284501988962,1.6723369164825244,1.4374481181859102,1.255490475437242,1.4650144910203897
2020-03-31,1.2308556857061104,1.4339188668672382,1.190410212934703,1.057001257156287,1.2665886580605898
2020-04-30,1.394928748610735,1.5928827669767616,1.3546758822382041,1.2097398964167958,1.403875995109578
2020-05-29,1.471091858284881,1.7089892256707664,1.4070523927230025,1.2732194039888258,1.467694107453776
2020-06-30,1.5069864996270321,1.762876490360985,1.4191655839956536,1.2717149665380816,1.4982826541171033
2020-07-31,1.5931861274056982,1.8668803087724852,1.4917310749599373,1.3404167022264641,1.571360672854478
2020-08-31,1.7118784938974227,1.9321714259181924,1.573205648780853,1.3818457685888306,1.6417610448742523
2020-09-30,1.6493949288701668,1.9033563660400472,1.5311891431464093,1.3505485273691153,1.6074256167446195
2020-10-30,1.6147576353638933,1.9408157373992116,1.5245969907822907,1.3445918712427871,1.6029794433190874
2020-11-30,1.8172482428385255,2.203543039188751,1.7241304541431806,1.531859921460578,1.8250696548671883
2020-12-31,1.9010233868333815,2.288675998546668,1.7748877965611862,1.5913666930166612,1.8831862425586847
2021-01-29,1.8953203166728814,2.2512376048524088,1.768290785991928,1.5584175268626124,1.8618743498217374
2021-02-26,1.9557810347747464,2.3592641296087504,1.8652329527707032,1.644460194257165,1.9673914537103667
2021-03-31,2.0246245271988172,2.5248216698593153,2.0053515342898818,1.7557234607287788,2.12044457026973
2021-04-30,2.1284877654441163,2.661979994689692,2.06909399709687,1.8464705462043427,2.222859781450489
2021-05-28,2.1431743310256803,2.6930468946970065,2.1563489603341317,1.8981386085108405,2.2626164247554374
2021-06-30,2.1926816580723734,2.6709230297400643,2.1381577941458336,1.8662576519899807,2.2477641744953316
2021-07-30,2.2196516424666637,2.690694176569226,2.1794728861070647,1.8893896670202075,2.261684176708918
2021-08-31,2.282023853619977,2.800590132116159,2.248940071670062,1.950594036412848,2.344446127888272
2021-09-30,2.184353232685042,2.665447506713096,2.176713455444134,1.858459993871484,2.245486579619973
2021-10-29,2.330049593305134,2.757752235189173,2.3069653916629105,1.9581685916200313,2.309003780470598
2021-11-30,2.287642690706981,2.6958092279457584,2.2103702784033534,1.921036174026919,2.2530786557527263
2021-12-31,2.3677101848817252,2.8602548716269136,2.3459827584641344,2.0203937331454376,2.3744722755517755
2022-01-31,2.231803620269514,2.7596234997991482,2.276503571951935,1.9184058365992462,2.301430004124117
2022-02-28,2.182257579899531,2.719125236723263,2.280674102430231,1.9149990401239163,2.2877525727308985
2022-03-31,2.2538356285202354,2.8080257134487527,2.3279017902438373,1.9604167010553806,2.3635394287853138
2022-04-29,2.048961969887746,2.6438065960880515,2.1500684105612646,1.8502541873904428,2.2337662277707957
2022-05-31,2.047117904114847,2.6795942597743756,2.1902551326515476,1.9006936635690361,2.2873955827576054
2022-06-30,1.8751600001692,2.419320821539483,1.9619325844481161,1.7289410358661363,2.024326980033189
2022-07-29,2.049924912184969,2.662907626258058,2.144904697060136,1.9063480721176311,2.234161196246105
2022-08-31,1.9765376003287474,2.581076607685661,2.1037978718763353,1.846574278176337,2.196393805061698
2022-09-30,1.7964750249387986,2.343506726634175,1.9021282940967847,1.671879722429546,2.003016624187252
2022-10-31,1.9436063294812864,2.591430657946255,2.1145464979059057,1.8074880412043524,2.2254201355940952
2022-11-30,2.04292461291778,2.7572689618300004,2.262899292699917,1.9287143362945802,2.3504510466390625
2022-12-30,1.9209620135265884,2.6177877366458357,2.1585579195753177,1.850167980213005,2.243968269366865
