,Low advocacy,High advocacy,Low preparation,High preparation,Low transformation,High transformation,Low esg_refinitive,High esg_refinitive
alpha,0.26,0.17,0.15,-0.01,0.12,0.45,0.19,0.17
beta_mkt,0.97,1.1,1.03,1.01,1.05,0.98,1.03,1.04
beta_smb,-0.02,0.19,0.08,0.01,0.16,-0.02,0.24,-0.03
beta_hml,0.26,0.29,0.22,0.21,0.26,0.19,0.29,0.29
p-value(alpha),0.04,0.26,0.39,0.94,0.38,0.0,0.25,0.18
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.76,0.0,0.29,0.91,0.01,0.74,0.0,0.56
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.95,0.95,0.93,0.94,0.95,0.93,0.93,0.95
