date,High transformation,High esg_refinitive,High preparation,Low advocacy
2019-10-31,0.4820769686298711,0.10737155364360801,-0.1875968810096097,0.2586188970152288
2019-11-29,0.4467942793671158,0.10957387398027557,-0.21559343578406814,0.23060843229723565
2019-12-31,0.4646017564051988,0.11204306168697648,-0.20775833221862838,0.24660334991325428
2020-01-31,0.4624633158436927,0.11664945826139161,-0.26801219918590236,0.23763793382105636
2020-02-28,0.4175983558707075,0.06604096015442784,-0.2774966090936669,0.23188797237786396
2020-03-31,0.4207399452561379,-0.05104304391845871,-0.17765697639352762,0.24840293014251746
2020-04-30,0.4531974053744281,-0.026961244184988353,-0.14237829647982536,0.24733068532735325
2020-05-29,0.46178768020878425,-0.042583419120453825,-0.1509194896978041,0.2554661518988315
2020-06-30,0.48366209770346424,-0.056831317827447214,-0.1966633850223899,0.2519707736647865
2020-07-31,0.432302572109708,-0.08517757444380814,-0.22536308082747125,0.2399640932111281
2020-08-31,0.4373894964079018,-0.08324322671311057,-0.20649380795056183,0.24425424777955151
2020-09-30,0.4913806200264995,-0.029932534807644462,-0.1580418064330179,0.2926124241934588
2020-10-30,0.6724468904750943,0.03610031371340916,-0.07796984349821579,0.30245875147239654
2020-11-30,0.6992923533583102,-0.04337481711896618,-0.08058641415266399,0.3444348827234309
2020-12-31,0.6630814202981025,-0.11593520300522053,-0.10882850914016107,0.2971907155530291
2021-01-29,0.5972316958009121,-0.07224686765886201,-0.17280531751376715,0.27677186886229455
2021-02-26,0.540162529827616,-0.05921101877245527,-0.163400289684682,0.2767544373346399
2021-03-31,0.5802251623616527,0.018297266979255766,-0.11320665428688514,0.34355321093208846
2021-04-30,0.5979997819432945,-0.07838001770341602,-0.11488922654821915,0.3355847452679154
2021-05-28,0.5390588216241562,-0.02363406628889686,-0.08861795139214212,0.2943395213783797
2021-06-30,0.5350522391407115,-0.03425444978929748,-0.11261979070455669,0.2850263304986599
2021-07-30,0.5094014665590254,-0.03995578716733034,-0.1375913783266689,0.26580888464868224
2021-08-31,0.548714622738598,0.003912621164760932,-0.10232108969458331,0.3181225191322532
2021-09-30,0.4799732516273564,0.07275762115192971,-0.09163299595015933,0.2980515699266466
2021-10-29,0.4582459701725809,0.0730299964063428,-0.09590788842800568,0.2654242748420211
2021-11-30,0.40444639030118407,0.02544435546872903,-0.08627201664738204,0.2334469294477188
2021-12-31,0.47826675033656585,0.0499437902283098,-0.09479612819457839,0.25795708695218417
2022-01-31,0.4446521170173731,-0.0038880190178309237,-0.17113296030113473,0.21106867089042405
2022-02-28,0.4543842049495268,0.09476104745645741,-0.05831467800467799,0.2880762466933418
2022-03-31,0.3943141642716623,0.0742633127401102,-0.10888426715499783,0.2515236842233679
2022-04-29,0.4892085877451673,0.03378322487865709,-0.07077514129437945,0.3143394657163102
2022-05-31,0.4360782848386291,0.025561263615118957,-0.07539069329351866,0.2683138047146565
2022-06-30,0.3239864848225703,-0.050227321536521374,-0.08649523704857029,0.07806037756759435
2022-07-29,0.37996274239314554,-0.04572606220355033,-0.05105882226262107,0.14594138522860528
2022-08-31,0.37220443870419234,0.04205693558614233,-0.019299880542753958,0.20463948151823855
2022-09-30,0.3333070865414488,0.060861308436999356,-0.00603023862954058,0.16517572284893803
2022-10-31,0.33386298653861884,0.03747578099508085,-0.05097554100985567,0.1713390065038799
2022-11-30,0.3401997718127415,0.06496091352606033,-0.05237954523528021,0.14447495818703593
2022-12-30,0.3091084347108491,0.08934519585881824,-0.019608425381488437,0.17297578627645685
