,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.97%,6.93%,-18.87%,-18.87%,23.12%,50.39%,92.10%,92.10%
High transformation,-5.06%,11.70%,-8.48%,-8.48%,43.15%,84.09%,161.78%,161.78%
High esg_refinitive,-4.61%,13.48%,-7.99%,-7.99%,34.29%,51.85%,115.86%,115.86%
High preparation,-4.07%,10.66%,-8.43%,-8.43%,27.41%,43.03%,85.02%,85.02%
Low advocacy,-4.53%,12.03%,-5.50%,-5.50%,35.69%,66.47%,124.40%,124.40%
