date,Market,High customers,High suppliers,High employees,High communities,Low communities
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.995227528230396,1.0148355683350578,0.9924014702835761,1.00195235707715,1.002102709418519
2016-09-30,1.00831782324,0.9936902383030564,1.0200806545583003,0.9866119667514763,1.0026610801731615,0.9926331704271371
2016-10-31,0.9878489714282281,0.982707864785252,1.0114304969790078,0.965973691657971,0.9978827012828697,0.9819253105037336
2016-11-30,1.0327960996282126,1.0448298442264752,1.0552820873684474,1.0011656274801526,1.057561048094616,1.0446941576884365
2016-12-30,1.0513864294215205,1.0661649393337298,1.0648972443660414,1.0112204904653659,1.0925350120575839,1.0545939795723434
2017-01-31,1.0742015149399675,1.0915507982795751,1.0767166291689179,1.0326743959239386,1.1422163744992748,1.0773768412566107
2017-02-28,1.1094353246299984,1.1204970828099243,1.11511475053499,1.0725179881409947,1.1734315321795268,1.1103870428733456
2017-03-31,1.1120979694091104,1.1289224522883323,1.1239346143370759,1.0797360460964638,1.1794711481887183,1.1291949861613404
2017-04-28,1.1219956413368515,1.1584585051014915,1.1373612954995782,1.0829509716454266,1.1740996650040731,1.1466376280710904
2017-05-31,1.1331033981860863,1.1915770376702093,1.1535590408386729,1.119540244892446,1.211306285040655,1.1860149712047785
2017-06-30,1.14500098386704,1.199981330019456,1.17615077213163,1.1234482571535223,1.219680461893114,1.2005243880611782
2017-07-31,1.1683590039379277,1.2221829190609317,1.183633003055671,1.1492971941045886,1.2727074804037406,1.235823284194675
2017-08-31,1.1701115424438344,1.2243100390128525,1.195746299324915,1.1480798663824359,1.2693416124031218,1.2433073828225647
2017-09-29,1.2001834090846408,1.2390376628022044,1.2349346200474873,1.2142898675903717,1.283985626512452,1.3028012291788198
2017-10-31,1.2250272056526927,1.2673781743146928,1.2569653486905954,1.2254995865580067,1.3024767051164114,1.3203951770714686
2017-11-30,1.2612880109400122,1.3167846095561786,1.3039071850656745,1.2780055167134339,1.3374540243385185,1.3761272891723082
2017-12-29,1.2773063686789503,1.3406101899417102,1.3092771783859138,1.303249580665533,1.3553647924788266,1.4046222677083198
2018-01-31,1.3455145287664063,1.3945676767554334,1.3539923592126515,1.3655567935296846,1.3946669191491639,1.4729368652099926
2018-02-28,1.2938467708617762,1.3140016754711707,1.3070430093468581,1.294824053537964,1.3606990816767297,1.3959434909614319
2018-03-29,1.2673229120591096,1.287633088276245,1.293497398695643,1.2716307736369168,1.3513692263675536,1.3691788658199642
2018-04-30,1.2735327943281993,1.304043293063968,1.2854052269331218,1.2662292530302213,1.3297961609175766,1.3726719883141336
2018-05-31,1.3072814133778965,1.3124268618118033,1.2955253437023448,1.2675808249479545,1.3395204934581124,1.381498502056067
2018-06-29,1.3142100048687995,1.3229646770823635,1.2983276373528618,1.26234491319337,1.3394617085835214,1.3801705087458243
2018-07-31,1.3571846720280092,1.381588407369263,1.33646650014615,1.29463311981921,1.3676940257591195,1.4253873868312879
2018-08-31,1.4012931738689194,1.4104014422996105,1.3436930312988047,1.3083842286597498,1.3717084586220765,1.4503605007876705
2018-09-28,1.404235889534044,1.415045471617909,1.3403871703806822,1.2907562306399467,1.3715358383468446,1.442658631633771
2018-10-31,1.29723311475155,1.3241442968590806,1.2264679059726051,1.1674756008053688,1.2782199546891864,1.2951390495665456
2018-11-30,1.320583310817078,1.3670928421566513,1.289389941441018,1.1781860534120363,1.3243142759992979,1.3165448584944366
2018-12-31,1.1973728879178447,1.2362405488758406,1.1669527461510225,1.0608674498149193,1.2100637412139195,1.1863620168909923
2019-01-31,1.302741702054615,1.3422405921043599,1.2720818558642935,1.1774238274485078,1.3153908159382597,1.3124742749812015
2019-02-28,1.349249580817965,1.3957877310504523,1.3111413375039755,1.2146364160011505,1.370461043223796,1.362289431566694
2019-03-29,1.36463102603929,1.4072259540374816,1.3158169216078854,1.2370570551676279,1.385076466621968,1.3743458815005283
2019-04-30,1.4207173612095048,1.457098491804357,1.352739712140329,1.2887166618653632,1.4356446619751546,1.423020201217751
2019-05-31,1.3268079436335565,1.382335099763033,1.2204945475796316,1.1614865947153905,1.3337301990595698,1.2983076306251988
2019-06-28,1.4219400731920826,1.4894770793144398,1.3106476178177384,1.2599489566123832,1.4418118360170622,1.4094999506565389
2019-07-31,1.4398565181143028,1.5021233956941302,1.3230847031982365,1.2918399394968652,1.459458505252452,1.4425430075104937
2019-08-30,1.406451846894051,1.4720605831857996,1.2668901228014164,1.2710899770361666,1.4270321625389746,1.4310662398565044
2019-09-30,1.43036152829125,1.507966143560531,1.3290709680279753,1.3090137822271675,1.4797597139932612,1.4696413220206848
2019-10-31,1.4586826865514169,1.5319325538787285,1.342697347951661,1.30370647212667,1.4998114554100193,1.4712634511486045
2019-11-29,1.5158630478642325,1.5728171345091997,1.3930966124638393,1.3331912859392852,1.541924206174505,1.5075166039237493
2019-12-31,1.5602778351666546,1.6090507687686386,1.4478210540308436,1.3816402010165083,1.606061909912421,1.549544015776762
2020-01-31,1.5570012517128047,1.6188125845534445,1.4003431785651956,1.3234544478175492,1.5534924518738136,1.5135834095005247
2020-02-28,1.4307284501988962,1.4708118766163663,1.2676477056879438,1.2005603051296432,1.3959980095400373,1.3711916686109498
2020-03-31,1.2308556857061104,1.2660450142438378,1.0589905609804005,0.9754322398158578,1.169293651541111,1.149281975797449
2020-04-30,1.394928748610735,1.4096773052050455,1.2007804737652121,1.147124793018495,1.3185139456740729,1.3256175914145865
2020-05-29,1.471091858284881,1.4857629907940213,1.2571345147100632,1.2170826571969866,1.3965652167817606,1.4175133008504899
2020-06-30,1.5069864996270321,1.5102647229175759,1.2800668072149812,1.2346469920981518,1.4174484052466412,1.4341646362099263
2020-07-31,1.5931861274056982,1.5971732306203545,1.3108436694539587,1.3167704206661273,1.4870043905649208,1.5185222828118154
2020-08-31,1.7118784938974227,1.6848704252118145,1.3845652931135353,1.366934367947188,1.5483060703193692,1.577325043930605
2020-09-30,1.6493949288701668,1.6403282534246377,1.347984191288381,1.334501717884562,1.5286189661800036,1.5342309719276568
2020-10-30,1.6147576353638933,1.6420282631557548,1.3366801798501486,1.3518035090782388,1.5275344835567992,1.5596476179530037
2020-11-30,1.8172482428385255,1.8604703267676284,1.5040050563620115,1.5444529268519844,1.7172803027959735,1.7804639896841707
2020-12-31,1.9010233868333815,1.9182545084373979,1.557496731025968,1.610243103780642,1.7853880412591687,1.8472678796709956
2021-01-29,1.8953203166728814,1.9025496825727368,1.5605797622468038,1.5971009800038836,1.7713291162393623,1.8316516981142195
2021-02-26,1.9557810347747464,2.011708492725036,1.6342209376658177,1.7089678503982606,1.8476069157541863,1.9499884876936204
2021-03-31,2.0246245271988172,2.1561602312135864,1.754030745464516,1.8304192668158756,1.9633852767508986,2.1054363045421596
2021-04-30,2.1284877654441163,2.255765428771278,1.8084017520390938,1.9262444817739455,2.073778615113491,2.199478059751597
2021-05-28,2.1431743310256803,2.2928084768003574,1.8669618053318493,1.983057396613661,2.097511719507709,2.2614519147020156
2021-06-30,2.1926816580723734,2.2620053435882927,1.86632223532357,1.9684374618232,2.070757439621467,2.236763472934845
2021-07-30,2.2196516424666637,2.293429877717124,1.856969066801054,1.9864212096258151,2.0898240642263626,2.2583591670228826
2021-08-31,2.282023853619977,2.359234021754712,1.8842868673907798,2.0357458318556283,2.112053645633933,2.330357171205695
2021-09-30,2.184353232685042,2.2699172154249676,1.8122436929214456,1.9668336254941057,2.0328503450547566,2.2269527375686873
2021-10-29,2.330049593305134,2.373101990473848,1.9069262016044173,2.115237724032246,2.157444124072851,2.3628813568873457
2021-11-30,2.287642690706981,2.3187614396288905,1.874721141131942,2.065922812047672,2.094560399549739,2.321404156926269
2021-12-31,2.3677101848817252,2.4568154304257077,2.0036066415160687,2.164525861099198,2.2096488940450327,2.4490462670132853
2022-01-31,2.231803620269514,2.3769400344914775,1.969179480607211,2.0524223098502867,2.142426466899004,2.3125309241756056
