,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High customers,-7.48%,-2.40%,15.09%,15.09%,26.60%,93.30%,211.03%,211.03%
High suppliers,-5.46%,-1.75%,11.91%,11.91%,21.41%,68.02%,143.26%,143.26%
High employees,-7.31%,-1.41%,20.24%,20.24%,30.20%,103.98%,181.83%,181.83%
High communities,-6.91%,-4.77%,8.24%,8.24%,12.89%,55.31%,149.44%,149.44%
Low communities,-7.00%,-0.95%,18.30%,18.30%,27.23%,101.09%,211.60%,211.60%
