,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High customers,0.90,-9.57%,-21.79%,0.21,0.120
High suppliers,0.70,-11.02%,-26.86%,-0.03,0.820
High employees,0.73,-10.88%,-29.40%,-0.00,1.000
High communities,0.72,-10.13%,-27.19%,-0.02,0.860
Low communities,0.81,-11.00%,-25.83%,0.13,0.370
