date,Market,High Innovation,High Adaptation-change,High Measurement,High Upskilling,High Advocacy,Low Advocacy
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,1.004691897137502,0.9936548885284635,1.002706006815398,1.0178442238332097,1.0252536455242964,1.0074035343882226
2016-09-30,1.00831782324,1.001829188835473,0.9989324275202242,1.0129448794938514,1.0196366954529683,1.029103282261671,1.0083987239267813
2016-10-31,0.9878489714282281,0.9892787858605901,0.9917203780686275,0.9863442142572385,1.0127094766280658,1.023732419341877,0.9880367407511039
2016-11-30,1.0327960996282126,1.0492726412525937,1.0533753354098776,1.0291740173270951,1.1002030706941088,1.1040961212547367,1.0519041876425863
2016-12-30,1.0513864294215205,1.071235610968819,1.078656355988127,1.0398326206529092,1.133476851313791,1.127811281724435,1.0808287468794333
2017-01-31,1.0742015149399675,1.0949640988374332,1.1021709621191724,1.0853368260165697,1.1838363912815932,1.1499974675688671,1.12060186898412
2017-02-28,1.1094353246299984,1.1423832346923328,1.1289224149370791,1.1206733764003618,1.2248772977843112,1.1913144229790307,1.1563256599890264
2017-03-31,1.1120979694091104,1.1451538995318857,1.1420935948702864,1.1300787466177595,1.2145605120968512,1.1811902714265499,1.150698748660613
2017-04-28,1.1219956413368515,1.1571988128529906,1.1553462154399985,1.143291748579337,1.225277414909559,1.1815966446904473,1.1593810030329061
2017-05-31,1.1331033981860863,1.1665236853395133,1.1553706706600457,1.1637733123460605,1.2559180595520907,1.210245602105529,1.1699102453938368
2017-06-30,1.14500098386704,1.1744944046170276,1.1843372525684313,1.1793236777680263,1.2799455159802509,1.2177754897347186,1.1868209043612112
2017-07-31,1.1683590039379277,1.1985903028867462,1.1877636820910422,1.2097391865830098,1.306311895870258,1.2401631715329369,1.2005078764996662
2017-08-31,1.1701115424438344,1.2041377386644603,1.1997164273467213,1.2202056125164629,1.3159743012263645,1.2341074731557422,1.2038211886640264
2017-09-29,1.2001834090846408,1.2354847866279821,1.2366023721143118,1.25522785615929,1.362855869204467,1.2670949833946363,1.2361476295831217
2017-10-31,1.2250272056526927,1.2648108139824599,1.2756557441918857,1.2735468181495664,1.4048845738432678,1.2867975128908844,1.2593949611067692
2017-11-30,1.2612880109400122,1.3291992184998838,1.318861534769949,1.3208970207142088,1.4569748209879463,1.3232906795699317,1.3065461382705938
2017-12-29,1.2773063686789503,1.338340811157181,1.3455262789184794,1.325378509799918,1.4580895360704809,1.346571679091199,1.3040043559158192
2018-01-31,1.3455145287664063,1.4071504236643209,1.3989086524734402,1.374691818814509,1.504280893380337,1.3904568477997798,1.3541414587127047
2018-02-28,1.2938467708617762,1.3409692699030449,1.3400219098494623,1.3231274710522682,1.438466477257847,1.3284212047388573,1.3079462730774603
2018-03-29,1.2673229120591096,1.3208154312142768,1.3261958824125062,1.3182842836629927,1.4299317699746241,1.3163191974813238,1.3048159356009765
2018-04-30,1.2735327943281993,1.3221416373253403,1.3240298956122303,1.313626976481337,1.4174129078477629,1.3081281725490441,1.2914175280303601
2018-05-31,1.3072814133778965,1.3324186196287289,1.3497511786115588,1.2967770965765872,1.447443861060833,1.3125999698690742,1.2973179821446348
2018-06-29,1.3142100048687995,1.3377191474736359,1.3540201212406122,1.3078515891248295,1.436716116655179,1.3255329476926263,1.318013185029769
2018-07-31,1.3571846720280092,1.4092438611155982,1.403346417638863,1.3450853404615892,1.4828127901492962,1.3520303781121066,1.3450255325795184
2018-08-31,1.4012931738689194,1.4258286635598032,1.4261063933288487,1.3659603607782107,1.4751171233124722,1.3747325684593843,1.3419832101726008
2018-09-28,1.404235889534044,1.4286577400583356,1.4238869390749536,1.375111002889729,1.461233412314076,1.3809172529975504,1.3413735425376068
2018-10-31,1.29723311475155,1.320566593494423,1.2973718689069165,1.266320603834132,1.3305869821821907,1.2886723748614681,1.2281619858558026
2018-11-30,1.320583310817078,1.3581745962532366,1.350005202939548,1.3203845145785176,1.3507138248738053,1.3320310911707485,1.2915848133381893
2018-12-31,1.1973728879178447,1.2268450920846976,1.2059505873225638,1.2077458207513736,1.2214470344675692,1.184490814252657,1.1683979914236802
2019-01-31,1.302741702054615,1.3497838587761386,1.340749617713162,1.3199229508282635,1.3466691884071782,1.2998608109027665,1.280425052184488
2019-02-28,1.349249580817965,1.4007022037315555,1.3776805051326402,1.3801036498789476,1.3919791851364522,1.3379307326013663,1.3311534386667905
2019-03-29,1.36463102603929,1.399325906826774,1.3893952106914669,1.3909078065448386,1.3919289623748496,1.3352499660172343,1.3201839879868664
2019-04-30,1.4207173612095048,1.4601294199969697,1.4433860570570454,1.4269710261288646,1.4600840107781028,1.422703054015566,1.3719081982096468
2019-05-31,1.3268079436335565,1.3463449131310221,1.3323864801332688,1.3155679520856673,1.308044610336481,1.3171429830093628,1.2666306990617322
2019-06-28,1.4219400731920826,1.4595059201965468,1.4402098811491892,1.4132873149124927,1.4460502804997888,1.4323726373618553,1.3726345975967316
2019-07-31,1.4398565181143028,1.4775623945848801,1.4702260364987967,1.4320437411538425,1.4594937429898551,1.462161271688576,1.3936207437463404
2019-08-30,1.406451846894051,1.449400307230193,1.458047295930515,1.358069717261716,1.38812122837838,1.4029497131004833,1.3389316605474457
2019-09-30,1.43036152829125,1.4895814387836401,1.5096999501945438,1.4107724936517074,1.4445482385360702,1.4568147407291043,1.3870782765381435
2019-10-31,1.4586826865514169,1.5167761416065317,1.5212871253774312,1.4439064995948638,1.459531944837473,1.4636755004925044,1.413580713503061
2019-11-29,1.5158630478642325,1.550725294890288,1.5627158507981915,1.5001201370058264,1.518195643766108,1.5176797422929917,1.4631267214406507
2019-12-31,1.5602778351666546,1.5942948865701723,1.6056092825687214,1.5451225455392996,1.602420462079104,1.5405973646199493,1.5248104058765117
2020-01-31,1.5570012517128047,1.5486977094048187,1.5798191271889057,1.5072342119641808,1.558188293699003,1.5083787741331758,1.4840664061291653
2020-02-28,1.4307284501988962,1.4033451906724148,1.4630968438411505,1.3773323810427982,1.4027023319300285,1.3664534773653947,1.3479729950848225
