,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High Innovation,-6.87%,-0.03%,18.92%,18.92%,29.54%,84.54%,194.20%,194.20%
High Adaptation-change,-7.51%,-0.64%,16.57%,16.57%,36.16%,113.91%,243.46%,243.46%
High Measurement,-7.51%,-1.78%,16.89%,16.89%,27.75%,81.16%,179.91%,179.91%
High Upskilling,-8.15%,-4.45%,12.55%,12.55%,29.38%,85.94%,197.96%,197.96%
High Advocacy,-7.37%,0.63%,17.30%,17.30%,26.37%,70.72%,163.01%,163.01%
Low Advocacy,-7.78%,-3.28%,14.70%,14.70%,31.88%,100.87%,206.28%,206.28%
