,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High Innovation,0.83,-9.67%,-25.50%,0.14,0.300
High Adaptation-change,0.91,-11.47%,-22.57%,0.29,0.040
High Measurement,0.79,-10.79%,-24.74%,0.07,0.590
High Upskilling,0.75,-10.41%,-30.61%,0.13,0.340
High Advocacy,0.72,-11.06%,-28.54%,0.05,0.690
Low Advocacy,0.84,-9.54%,-26.75%,0.18,0.140
