,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.94,-8.65%,-21.24%,0.58,0.070
Market,0.46,-9.39%,-28.93%,,
High Advocacy_employees,0.79,-8.98%,-20.72%,0.48,0.160
High Upskilling_employees,0.90,-8.42%,-20.40%,0.58,0.070
High Adaptation-change_employees,0.92,-8.19%,-17.25%,0.56,0.080
High Innovation_employees,0.64,-12.49%,-24.51%,0.27,0.540
Low Advocacy_employees,0.85,-9.60%,-23.04%,0.47,0.170
