,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.70,-9.78%,-27.80%,,
Low transformation,0.72,-10.05%,-29.25%,0.37,0.010
Low preparation,0.67,-9.99%,-29.46%,0.31,0.030
Low advocacy,0.69,-10.55%,-24.20%,0.26,0.050
