,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.67%,1.71%,11.49%,11.49%,35.42%,55.09%,65.65%,65.65%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,20.08%,20.08%
High transformation,4.10%,0.81%,8.87%,8.87%,25.81%,48.61%,57.11%,57.11%
High preparation,4.23%,4.20%,13.80%,13.80%,39.33%,63.81%,74.53%,74.53%
High advocacy,2.29%,0.32%,13.54%,13.54%,34.94%,45.37%,64.01%,64.01%
Low advocacy,4.98%,2.24%,11.11%,11.11%,37.92%,64.31%,77.29%,77.29%
