,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.39%,-5.30%,4.82%,4.82%,6.32%,46.93%,134.95%,133.91%
High transformation,-4.68%,-5.94%,3.25%,3.25%,5.16%,49.00%,142.70%,144.47%
High preparation,-5.57%,-5.99%,3.56%,3.56%,2.63%,37.87%,106.01%,107.42%
High advocacy,-5.73%,-5.79%,1.77%,1.77%,4.84%,42.37%,126.00%,123.55%
