,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,4.03%,2.88%,17.21%,17.21%,51.05%,73.84%,160.91%,264.25%
Market,-0.82%,-3.87%,6.78%,6.78%,7.93%,22.95%,88.74%,97.76%
High advocacy,2.63%,0.94%,15.96%,15.96%,51.59%,65.72%,153.51%,261.29%
High preparation,4.63%,4.68%,17.52%,17.52%,51.66%,83.15%,166.14%,265.07%
High transformation,3.69%,1.79%,15.05%,15.05%,46.18%,71.38%,155.57%,248.64%
Low advocacy,4.41%,4.14%,16.97%,16.97%,47.99%,77.76%,160.70%,258.02%
