,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.49,-11.13%,-28.24%,,
High transformation,0.48,-11.84%,-29.47%,0.36,0.250
High esg_refinitive,0.45,-11.89%,-28.50%,0.36,0.260
High esg_sp,0.60,-10.66%,-23.55%,0.54,0.070
