,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.81,-11.16%,-24.44%,0.44,0.070
Market,0.51,-8.91%,-28.93%,,
High advocacy,0.81,-11.40%,-24.31%,0.45,0.080
High preparation,0.79,-11.32%,-27.83%,0.43,0.090
High transformation,0.80,-11.45%,-25.36%,0.42,0.090
Low advocacy,0.78,-11.28%,-28.08%,0.42,0.090
