,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.54,-9.68%,-26.43%,,
High transformation,0.47,-9.71%,-27.10%,0.35,0.060
High preparation,0.37,-10.63%,-26.82%,0.24,0.260
High advocacy,0.44,-10.58%,-26.67%,0.33,0.100
