,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.07%,2.30%,12.29%,12.29%,39.73%,55.54%,82.88%,82.88%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,38.24%,38.24%
High transformation,2.73%,2.23%,10.16%,10.16%,32.66%,54.26%,71.96%,71.96%
High preparation,4.20%,5.36%,19.36%,19.36%,47.57%,71.80%,104.53%,104.53%
High advocacy,2.42%,0.79%,10.09%,10.09%,40.44%,49.45%,66.83%,66.83%
Low advocacy,4.67%,3.74%,14.80%,14.80%,42.73%,75.74%,118.29%,118.29%
Sector equal split transformation,3.66%,3.30%,14.47%,14.47%,41.23%,60.49%,64.67%,64.67%
