,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.83,-11.11%,-23.71%,0.46,0.070
Market,0.51,-8.91%,-28.93%,,
High Advocacy_local_communities_and_society,0.84,-10.78%,-20.38%,0.48,0.050
High Upskilling_local_communities_and_society,0.75,-12.19%,-26.86%,0.42,0.140
High Adaptation-change_local_communities_and_society,0.74,-11.65%,-26.91%,0.37,0.160
High Innovation_local_communities_and_society,0.80,-11.13%,-30.91%,0.42,0.090
Low Advocacy_local_communities_and_society,0.74,-11.91%,-31.57%,0.38,0.160
