,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.24,0.31,0.29,0.29,0.36,0.38,0.31
beta_mkt,1.07,1.14,1.07,1.08,1.14,1.07,1.01
beta_smb,-0.03,0.19,0.07,0.1,0.16,-0.02,-0.03
beta_hml,0.2,0.31,0.2,0.18,0.28,0.18,0.14
p-value(alpha),0.11,0.04,0.06,0.04,0.01,0.01,0.03
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.74,0.04,0.39,0.25,0.08,0.79,0.7
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.88,0.89,0.88,0.89,0.91,0.89,0.88
